idx,condition_dataset_name,condition_query_name,parameter_value,gpt-3.5-turbo,gpt-4,luminous-supreme-control_int100query
0,annealing,alien,0.0,0.0,0.0,0.4396698727587856
1,annealing,alien,0.1,0.0,0.0,0.45588620621615117
2,annealing,alien,0.2,0.05600153184816889,0.0,0.5793353292471463
3,annealing,alien,0.3,0.2095329705600498,0.0,0.5906511887255211
4,annealing,alien,0.4,0.30549674000354476,0.0,0.7681657576316238
5,annealing,alien,0.5,0.7386891530622279,0.0,0.3548144835191386
6,annealing,alien,0.6,0.38579793426658626,0.0,0.3584699451540694
7,annealing,alien,0.7,0.631336216610692,0.0,0.22058483383679506
8,annealing,alien,0.8,0.456311906957636,0.0,0.1429707988700546
9,annealing,alien,0.9,0.596967935991739,0.0,0.21446531411852887
10,annealing,alien,1.0,0.24026986073110912,0.0,0.12157208912888162
11,annealing,alien,1.1,0.07493150686690919,0.11190205187860432,0.11410581552822952
12,annealing,alien,1.2,0.08939239144897648,0.0,0.1774013968274506
13,annealing,alien,1.3,0.12474418662971365,0.05600153184816887,0.030606213486577438
14,annealing,alien,1.4,0.2640881289077317,0.22339591215847984,0.039949682326946956
15,annealing,alien,1.5,0.007196989692514144,0.05600153184816887,0.28313559157981016
16,annealing,alien,1.6,0.2910986294304241,0.27898712644459667,0.03375956557695714
17,annealing,alien,1.7,0.01769574676675445,0.0420375784320056,0.04067871636364284
18,annealing,alien,1.8,0.07623396429532248,0.5285971195058266,0.039275430144116275
19,annealing,alien,1.9,0.00045925645295419315,0.49359800981360774,0.00679425878339357
20,annealing,alien,2.0,0.05445067548470206,0.4035358502837191,0.02296769802522336
21,annealing,econ,0.0,0.0,0.0,0.0
22,annealing,econ,0.1,0.0,0.09803911028017424,4.615120276582754
23,annealing,econ,0.2,0.05600153184816887,0.2787693668113424,0.20227299765419962
24,annealing,econ,0.3,0.11190205187860429,0.34206998148177037,0.2432103156925087
25,annealing,econ,0.4,0.5490604212869455,0.886644179054783,0.3482953808901972
26,annealing,econ,0.5,0.6856063746913745,0.3303069644617872,0.7069288491982215
27,annealing,econ,0.6,1.0287786924011058,0.058130748884879346,0.7688671129830863
28,annealing,econ,0.7,1.4777319994915807,0.23100489513874778,0.47528531047351275
29,annealing,econ,0.8,0.8284395083412213,0.42469670262974535,0.5150536999937187
