idx,condition_dataset_name,condition_query_name,parameter_value,gpt-3.5-turbo,gpt-4,luminous-supreme-control_int100query
0,annealing,alien,0.0,0.0,0.0,1.8325814426123457
1,annealing,alien,0.1,0.0,0.0,1.7719568214401193
2,annealing,alien,0.2,0.010050333909919997,0.0,1.4335782550320362
3,annealing,alien,0.3,0.040821988512349465,0.0,1.1241963254603053
4,annealing,alien,0.4,0.06191531545665085,0.0,0.9569572213297755
5,annealing,alien,0.5,0.18793475218966274,0.0,1.4502954051095163
6,annealing,alien,0.6,0.45245145992343505,0.0,0.6449427453575347
7,annealing,alien,0.7,2.0704299804130777,0.0,0.5919281612324525
8,annealing,alien,0.8,1.649331069548214,0.0,0.34975393579176295
9,annealing,alien,0.9,2.6140431483511444,0.0,0.373801439438219
10,annealing,alien,1.0,3.39099392175573,0.0,0.8878614004591191
11,annealing,alien,1.1,4.196217079795932,0.3486149620709829,0.20466285093793488
12,annealing,alien,1.2,4.895451665751819,0.0,0.5412377487348937
13,annealing,alien,1.3,5.680885941556291,0.17425697512662477,1.7557460951089054
14,annealing,alien,1.4,4.5467721349398955,0.6976381157406947,1.3095596585049227
15,annealing,alien,1.5,3.210496002816406,0.17425697512662477,0.8332346471739287
16,annealing,alien,1.6,6.098997845835714,0.8723054084293715,1.8023747240137356
17,annealing,alien,1.7,5.179593738246499,0.37232723086431313,1.3051946999277408
18,annealing,alien,1.8,7.064516845607321,2.2332989239015797,2.4338563736532297
19,annealing,alien,1.9,6.129605144929615,1.8079820263592308,2.540369263977868
20,annealing,alien,2.0,6.051010036324802,1.4385322055146303,3.947272812472232
21,annealing,econ,0.0,0.0,23.02585069747936,0.0
22,annealing,econ,0.1,0.0,23.02585069557,18.182751701119596
23,annealing,econ,0.2,0.010050333909919997,23.025850695437686,0.05264373094803544
24,annealing,econ,0.3,0.020202703429315592,21.944810559139153,0.05635293212486547
25,annealing,econ,0.4,0.14068776776464628,23.025850691402397,5.357490956928037
26,annealing,econ,0.5,0.1454079764455219,20.040485837523,9.019961730030028
27,annealing,econ,0.6,0.2791777538829925,19.48251276493129,4.349194964316219
28,annealing,econ,0.7,0.8451124960734104,18.504099150944928,2.5908319097681174
29,annealing,econ,0.8,0.2299563980461795,17.98120359429573,0.7534394721992907
30,annealing,econ,0.9,0.8947114961687559,16.741630533233174,2.7996436639162594
31,annealing,econ,1.0,1.2431829243005597,15.869960648622001,1.3950875420317534
32,annealing,econ,1.1,1.1370810651233647,15.028423620146667,2.392074099934276
33,annealing,econ,1.2,2.7340668677348092,13.706692881663653,1.2495623268617289
34,annealing,econ,1.3,1.2560516483181934,11.815822743042085,2.8247529588777147
35,annealing,econ,1.4,2.916164337705066,14.304993272946716,1.8659531692764673
36,annealing,econ,1.5,2.4432127552081893,10.097584776147606,1.5590275098648236
37,annealing,econ,1.6,3.4179066153358924,2.199821166061331,1.0026933919421477
38,annealing,econ,1.7,3.1429644014482756,12.356786168970187,2.84136220087622
39,annealing,econ,1.8,2.4888423320678172,2.6325417041630885,3.0467435361456467
40,annealing,econ,1.9,3.2119441020928403,3.6299110962553782,1.830742427597024
41,annealing,econ,2.0,4.143109168549445,12.24308914641459,2.302991137836022
42,annealing,sex,0.0,23.02585069747936,0.0,18.902044713123882
43,annealing,sex,0.1,1.3093333043489443,0.0,20.883328927578376
44,annealing,sex,0.2,0.9332511677546347,0.174256975126625,4.8159180828471
45,annealing,sex,0.3,0.8176933029804775,0.006931471685591595,1.4179716350706033
46,annealing,sex,0.4,0.6851639489059836,0.44925859752378083,0.5921085451255348
47,annealing,sex,0.5,0.5884241569025042,0.40539574391376154,0.385861992200781
48,annealing,sex,0.6,1.4019714398968,0.9615877595113488,0.33820720882834154
49,annealing,sex,0.7,0.6936397756876106,1.3579919641536686,0.5104491458887719
50,annealing,sex,0.8,2.233819113820214,0.23678758543735862,0.19510354552959297
51,annealing,sex,0.9,1.4347455333182317,0.5831706426283443,0.28426401881322405
52,annealing,sex,1.0,2.8039274071255487,0.9049358729700038,0.08830128942346568
53,annealing,sex,1.1,3.951356888263802,1.2480503271692804,0.10033883908168623
54,annealing,sex,1.2,3.4099123799766375,0.9524380913350872,0.873555431405709
55,annealing,sex,1.3,4.514739156246604,0.4901673750133058,2.0432656171141175
56,annealing,sex,1.4,2.6300821309993783,1.5795069909484494,0.8928753787844971
57,annealing,sex,1.5,4.341201621431386,1.325200166450691,1.2323978608654405
58,annealing,sex,1.6,3.5417133097841145,1.4435129349366589,2.9434909004475176
59,annealing,sex,1.7,5.013112833347103,0.7678300955774676,1.433646005800486
60,annealing,sex,1.8,5.599467815113051,1.6606657927101738,2.518136902073349
61,annealing,sex,1.9,4.241506874823789,1.1982222730862269,1.6564757786025135
62,annealing,sex,2.0,3.4471477275276765,2.1396638504994527,2.9110973932633715
63,top_p_var,alien,0.01,0.0,0.0,1.8325814426123457
64,top_p_var,alien,0.1,0.0,0.0,0.7550225743759437
65,top_p_var,alien,0.2,0.0,0.0,5.639716393917004
66,top_p_var,alien,0.3,0.3011050875698579,0.0,3.622935968469735
67,top_p_var,alien,0.4,0.4004775583028916,0.0,2.2720921734886463
68,top_p_var,alien,0.5,0.8439700553221925,0.0,0.33504196858244606
69,top_p_var,alien,0.6,0.7550225643805326,0.0,0.31889759720658883
70,top_p_var,alien,0.7,0.7306807636076229,0.0,0.3348993053142447
71,top_p_var,alien,0.8,0.6459618248139638,0.0,0.5830453613208193
72,top_p_var,alien,0.9,1.2930997842780712,0.0,1.068479463441528
73,top_p_var,alien,1.0,2.623327835659808,0.7115010573391246,0.48373998831786114
74,top_p_var,econ,0.01,0.0,23.02585069747936,0.0
75,top_p_var,econ,0.1,0.0,23.02585069747936,0.0
76,top_p_var,econ,0.2,0.0,23.02585069747936,0.0
77,top_p_var,econ,0.3,0.0,23.02585069747936,2.320026691217656
78,top_p_var,econ,0.4,0.5798184871556984,23.02585069541757,8.01857618165623
79,top_p_var,econ,0.5,0.04760380864570975,23.025850693501308,5.294249887555164
80,top_p_var,econ,0.6,0.013320182230838695,20.928027838295513,2.7898260244097792
81,top_p_var,econ,0.7,1.531533956273908,19.445216759630185,0.47039170166291905
82,top_p_var,econ,0.8,0.13123303237817596,16.346109689425123,0.17097720649458542
83,top_p_var,econ,0.9,0.25620600623349155,15.830384731075782,1.3206925865720334
84,top_p_var,econ,1.0,1.390008547185062,18.303105399710244,3.0723584430490156
85,top_p_var,sex,0.01,23.02585069747936,0.0,18.902044713123882
86,top_p_var,sex,0.1,23.02585069747936,0.0,18.902044713123882
87,top_p_var,sex,0.2,23.02585069747936,0.0,2.735653525263354
88,top_p_var,sex,0.3,12.908393373874807,0.0,6.9763504065673185
89,top_p_var,sex,0.4,0.10275549457584113,0.0,0.24328332916217438
90,top_p_var,sex,0.5,3.5357726930833513,1.4458795355538567,0.11935475931100742
91,top_p_var,sex,0.6,4.312821362765711,6.599321390620044,0.14137480334480507
92,top_p_var,sex,0.7,4.300435954468105,7.292817939081119,0.05382801282289655
93,top_p_var,sex,0.8,2.965618702906192,0.024584093587473634,0.29136360101031794
94,top_p_var,sex,0.9,3.3216222866830187,1.4023030677657764,0.6131904443812553
95,top_p_var,sex,1.0,3.233488198970849,1.1761193209434513,0.38853634869041836
