idx,condition_dataset_name,condition_query_name,parameter_value,gpt-3.5-turbo,gpt-4,luminous-supreme-control_int100query
0,annealing,alien,0.0,0.0,0.0,0.003168316831683171
1,annealing,alien,0.1,0.0,0.0,0.00336633663366337
2,annealing,alien,0.2,0.00019801980198019828,0.0,0.0047626824538123955
3,annealing,alien,0.3,0.0007920792079207931,0.0,0.0062591476538958295
4,annealing,alien,0.4,0.0011881188118811874,0.0,0.008163546072222649
5,annealing,alien,0.5,0.0031683168316831694,0.0,0.005923172962457542
6,annealing,alien,0.6,0.0019801980198019802,0.0,0.007038458947935615
7,annealing,alien,0.7,0.003960396039603961,0.0,0.004822602075875795
8,annealing,alien,0.8,0.0025742574257425757,0.0,0.0032126401045901717
9,annealing,alien,0.9,0.00415841584158416,0.0,0.0015884277077041877
10,annealing,alien,1.0,0.0015841584158415825,0.0,0.0016776677667766785
11,annealing,alien,1.1,0.0027722772277227726,0.00039603960396039655,0.002939565211581889
12,annealing,alien,1.2,0.0007920792079207906,0.0,0.0020155648302822306
13,annealing,alien,1.3,0.0017821782178217816,0.00019801980198019828,0.0031121124534813746
14,annealing,alien,1.4,0.0017821782178217827,0.0007920792079207931,0.0029002900290029023
15,annealing,alien,1.5,0.0011881188118811883,0.00019801980198019828,0.003217821782178219
16,annealing,alien,1.6,0.0023342334233423345,0.0009900990099009914,0.002136272740574549
17,annealing,alien,1.7,0.0015593396074301314,0.00019801980198019828,0.0019861865218779922
18,annealing,alien,1.8,0.00150737522731865,0.0023762376237623783,0.002956016755521709
19,annealing,alien,1.9,0.00040412204485754756,0.0019801980198019807,0.0029355525669539978
20,annealing,alien,2.0,0.0020084245266631935,0.0015841584158415851,0.0010267693436010277
21,annealing,econ,0.0,0.0,0.0,0.0
22,annealing,econ,0.1,0.0,0.00039603960396039655,0.00990099009900991
23,annealing,econ,0.2,0.00019801980198019828,0.0015841584158415851,0.0010154861640010167
24,annealing,econ,0.3,0.00039603960396039655,0.0027722772277227747,0.001085040010850401
25,annealing,econ,0.4,0.002970297029702973,0.0065346534653465405,0.005989487837672661
26,annealing,econ,0.5,0.0037623762376237644,0.003168316831683171,0.008906914787864336
27,annealing,econ,0.6,0.0055445544554455495,0.0013861386138613867,0.0093644832463542
28,annealing,econ,0.7,0.010297029702970304,0.004356435643564361,0.004795253044468215
29,annealing,econ,0.8,0.003960396039603962,0.004752475247524757,0.004870818086971167
30,annealing,econ,0.9,0.006732673267326737,0.003514351435143518,0.00447431313004259
