idx,condition_dataset_name,condition_query_name,condition_cond,parameter_value,luminous-supreme-control_int100query,gpt-4,gpt-3.5-turbo
0,cc,alien,annealing,0.0,70.0,100.0,50.0
1,cc,alien,annealing,0.0,70.0,100.0,50.0
2,cc,alien,annealing,0.0,70.0,100.0,50.0
3,cc,alien,annealing,0.0,70.0,100.0,50.0
4,cc,alien,annealing,0.0,70.0,100.0,50.0
5,cc,alien,annealing,0.0,70.0,100.0,50.0
6,cc,alien,annealing,0.0,70.0,100.0,50.0
7,cc,alien,annealing,0.0,70.0,100.0,50.0
8,cc,alien,annealing,0.0,70.0,100.0,50.0
9,cc,alien,annealing,0.0,70.0,100.0,50.0
10,cc,alien,annealing,0.0,70.0,100.0,50.0
11,cc,alien,annealing,0.0,70.0,100.0,50.0
12,cc,alien,annealing,0.0,70.0,100.0,50.0
13,cc,alien,annealing,0.0,70.0,100.0,50.0
14,cc,alien,annealing,0.0,70.0,100.0,50.0
15,cc,alien,annealing,0.0,70.0,100.0,50.0
16,cc,alien,annealing,0.0,70.0,100.0,50.0
17,cc,alien,annealing,0.0,70.0,100.0,50.0
18,cc,alien,annealing,0.0,70.0,100.0,50.0
19,cc,alien,annealing,0.0,70.0,100.0,50.0
20,cc,alien,annealing,0.0,70.0,100.0,50.0
21,cc,alien,annealing,0.0,70.0,100.0,50.0
22,cc,alien,annealing,0.0,70.0,100.0,50.0
23,cc,alien,annealing,0.0,70.0,100.0,50.0
24,cc,alien,annealing,0.0,70.0,100.0,50.0
25,cc,alien,annealing,0.0,70.0,100.0,50.0
26,cc,alien,annealing,0.0,70.0,100.0,50.0
27,cc,alien,annealing,0.0,70.0,100.0,50.0
28,cc,alien,annealing,0.0,70.0,100.0,50.0
29,cc,alien,annealing,0.0,70.0,100.0,50.0
30,cc,alien,annealing,0.0,70.0,100.0,50.0
31,cc,alien,annealing,0.0,70.0,100.0,50.0
32,cc,alien,annealing,0.0,70.0,100.0,50.0
33,cc,alien,annealing,0.0,70.0,100.0,50.0
34,cc,alien,annealing,0.0,70.0,100.0,50.0
35,cc,alien,annealing,0.0,70.0,100.0,50.0
36,cc,alien,annealing,0.0,70.0,100.0,50.0
37,cc,alien,annealing,0.0,70.0,100.0,50.0
38,cc,alien,annealing,0.0,70.0,100.0,50.0
39,cc,alien,annealing,0.0,70.0,100.0,50.0
40,cc,alien,annealing,0.0,70.0,100.0,50.0
41,cc,alien,annealing,0.0,70.0,100.0,50.0
42,cc,alien,annealing,0.0,70.0,100.0,50.0
43,cc,alien,annealing,0.0,70.0,100.0,50.0
44,cc,alien,annealing,0.0,70.0,100.0,50.0
45,cc,alien,annealing,0.0,70.0,100.0,50.0
46,cc,alien,annealing,0.0,70.0,100.0,50.0
47,cc,alien,annealing,0.0,70.0,100.0,50.0
48,cc,alien,annealing,0.0,70.0,100.0,50.0
49,cc,alien,annealing,0.0,70.0,100.0,50.0
50,cc,alien,annealing,0.0,70.0,100.0,50.0
51,cc,alien,annealing,0.0,70.0,100.0,50.0
52,cc,alien,annealing,0.0,70.0,100.0,50.0
53,cc,alien,annealing,0.0,70.0,100.0,50.0
54,cc,alien,annealing,0.0,70.0,100.0,50.0
55,cc,alien,annealing,0.0,70.0,100.0,50.0
56,cc,alien,annealing,0.0,70.0,100.0,50.0
57,cc,alien,annealing,0.0,70.0,100.0,50.0
58,cc,alien,annealing,0.0,70.0,100.0,50.0
59,cc,alien,annealing,0.0,70.0,100.0,50.0
60,cc,alien,annealing,0.0,70.0,100.0,50.0
61,cc,alien,annealing,0.0,70.0,100.0,50.0
62,cc,alien,annealing,0.0,70.0,100.0,50.0
63,cc,alien,annealing,0.0,70.0,100.0,50.0
64,cc,alien,annealing,0.0,70.0,100.0,50.0
65,cc,alien,annealing,0.0,70.0,100.0,50.0
66,cc,alien,annealing,0.0,70.0,100.0,50.0
67,cc,alien,annealing,0.0,70.0,100.0,50.0
68,cc,alien,annealing,0.0,70.0,100.0,50.0
69,cc,alien,annealing,0.0,70.0,100.0,50.0
70,cc,alien,annealing,0.0,70.0,100.0,50.0
71,cc,alien,annealing,0.0,70.0,100.0,50.0
72,cc,alien,annealing,0.0,70.0,100.0,50.0
73,cc,alien,annealing,0.0,70.0,100.0,50.0
74,cc,alien,annealing,0.0,70.0,100.0,50.0
75,cc,alien,annealing,0.0,70.0,100.0,50.0
76,cc,alien,annealing,0.0,70.0,100.0,50.0
77,cc,alien,annealing,0.0,70.0,100.0,50.0
78,cc,alien,annealing,0.0,70.0,100.0,50.0
79,cc,alien,annealing,0.0,70.0,100.0,50.0
80,cc,alien,annealing,0.0,70.0,100.0,50.0
81,cc,alien,annealing,0.0,70.0,100.0,50.0
82,cc,alien,annealing,0.0,70.0,100.0,50.0
83,cc,alien,annealing,0.0,70.0,100.0,50.0
84,cc,alien,annealing,0.0,70.0,100.0,50.0
85,cc,alien,annealing,0.0,70.0,100.0,50.0
