idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,5,60
1,luminous-supreme-control_int100query,5,70
2,luminous-supreme-control_int100query,5,60
3,luminous-supreme-control_int100query,5,75
4,luminous-supreme-control_int100query,5,70
5,luminous-supreme-control_int100query,5,45
6,luminous-supreme-control_int100query,5,60
7,luminous-supreme-control_int100query,5,60
8,luminous-supreme-control_int100query,5,73
9,luminous-supreme-control_int100query,5,75
10,luminous-supreme-control_int100query,5,70
11,luminous-supreme-control_int100query,5,70
12,luminous-supreme-control_int100query,5,75
13,luminous-supreme-control_int100query,5,70
14,luminous-supreme-control_int100query,5,70
15,luminous-supreme-control_int100query,5,45
16,luminous-supreme-control_int100query,5,73
17,luminous-supreme-control_int100query,5,73
18,luminous-supreme-control_int100query,5,45
19,luminous-supreme-control_int100query,5,70
20,luminous-supreme-control_int100query,5,70
21,luminous-supreme-control_int100query,5,75
22,luminous-supreme-control_int100query,5,70
23,luminous-supreme-control_int100query,5,45
24,luminous-supreme-control_int100query,5,70
25,luminous-supreme-control_int100query,5,73
26,luminous-supreme-control_int100query,5,73
27,luminous-supreme-control_int100query,5,45
28,luminous-supreme-control_int100query,5,70
29,luminous-supreme-control_int100query,5,70
30,luminous-supreme-control_int100query,5,70
31,luminous-supreme-control_int100query,5,70
32,luminous-supreme-control_int100query,5,60
33,luminous-supreme-control_int100query,5,70
34,luminous-supreme-control_int100query,5,45
35,luminous-supreme-control_int100query,5,70
36,luminous-supreme-control_int100query,5,45
37,luminous-supreme-control_int100query,5,70
38,luminous-supreme-control_int100query,5,73
39,luminous-supreme-control_int100query,5,45
40,luminous-supreme-control_int100query,5,70
41,luminous-supreme-control_int100query,5,70
42,luminous-supreme-control_int100query,5,70
43,luminous-supreme-control_int100query,5,60
44,luminous-supreme-control_int100query,5,45
45,luminous-supreme-control_int100query,5,75
46,luminous-supreme-control_int100query,10,73
47,luminous-supreme-control_int100query,10,70
48,luminous-supreme-control_int100query,10,50
49,luminous-supreme-control_int100query,10,70
50,luminous-supreme-control_int100query,10,50
51,luminous-supreme-control_int100query,10,45
52,luminous-supreme-control_int100query,10,45
53,luminous-supreme-control_int100query,10,73
54,luminous-supreme-control_int100query,10,73
55,luminous-supreme-control_int100query,10,70
56,luminous-supreme-control_int100query,10,60
57,luminous-supreme-control_int100query,10,60
58,luminous-supreme-control_int100query,10,45
59,luminous-supreme-control_int100query,10,70
60,luminous-supreme-control_int100query,10,73
61,luminous-supreme-control_int100query,10,70
62,luminous-supreme-control_int100query,10,45
63,luminous-supreme-control_int100query,10,70
64,luminous-supreme-control_int100query,10,60
65,luminous-supreme-control_int100query,10,73
66,luminous-supreme-control_int100query,10,60
67,luminous-supreme-control_int100query,10,75
68,luminous-supreme-control_int100query,10,73
69,luminous-supreme-control_int100query,10,70
70,luminous-supreme-control_int100query,10,73
71,luminous-supreme-control_int100query,10,50
72,luminous-supreme-control_int100query,10,73
73,luminous-supreme-control_int100query,10,73
74,luminous-supreme-control_int100query,10,60
75,luminous-supreme-control_int100query,10,45
76,luminous-supreme-control_int100query,10,70
77,luminous-supreme-control_int100query,10,70
78,luminous-supreme-control_int100query,10,70
79,luminous-supreme-control_int100query,10,60
80,luminous-supreme-control_int100query,10,73
81,luminous-supreme-control_int100query,10,75
82,luminous-supreme-control_int100query,10,60
83,luminous-supreme-control_int100query,10,70
84,luminous-supreme-control_int100query,10,70
85,luminous-supreme-control_int100query,10,60
86,luminous-supreme-control_int100query,10,60
87,luminous-supreme-control_int100query,10,70
88,luminous-supreme-control_int100query,10,73
89,luminous-supreme-control_int100query,10,70
90,luminous-supreme-control_int100query,10,73
91,luminous-supreme-control_int100query,10,60
92,luminous-supreme-control_int100query,10,70
93,luminous-supreme-control_int100query,10,75
94,luminous-supreme-control_int100query,10,75
95,luminous-supreme-control_int100query,10,60
96,luminous-supreme-control_int100query,10,70
97,luminous-supreme-control_int100query,10,70
98,luminous-supreme-control_int100query,10,45
99,luminous-supreme-control_int100query,15,70
100,luminous-supreme-control_int100query,15,60
101,luminous-supreme-control_int100query,15,60
102,luminous-supreme-control_int100query,15,70
103,luminous-supreme-control_int100query,15,70
104,luminous-supreme-control_int100query,15,70
105,luminous-supreme-control_int100query,15,45
106,luminous-supreme-control_int100query,15,45
107,luminous-supreme-control_int100query,15,73
108,luminous-supreme-control_int100query,15,60
109,luminous-supreme-control_int100query,15,45
110,luminous-supreme-control_int100query,15,60
111,luminous-supreme-control_int100query,15,60
112,luminous-supreme-control_int100query,15,73
113,luminous-supreme-control_int100query,15,75
114,luminous-supreme-control_int100query,15,60
115,luminous-supreme-control_int100query,15,75
116,luminous-supreme-control_int100query,15,60
117,luminous-supreme-control_int100query,15,45
118,luminous-supreme-control_int100query,15,73
119,luminous-supreme-control_int100query,15,75
120,luminous-supreme-control_int100query,15,73
121,luminous-supreme-control_int100query,15,60
122,luminous-supreme-control_int100query,15,70
123,luminous-supreme-control_int100query,15,60
124,luminous-supreme-control_int100query,15,45
125,luminous-supreme-control_int100query,15,70
126,luminous-supreme-control_int100query,15,75
127,luminous-supreme-control_int100query,15,60
128,luminous-supreme-control_int100query,15,73
129,luminous-supreme-control_int100query,15,70
