idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,1,75
1,luminous-supreme-control_int100query,1,75
2,luminous-supreme-control_int100query,1,60
3,luminous-supreme-control_int100query,1,60
4,luminous-supreme-control_int100query,1,75
5,luminous-supreme-control_int100query,1,73
6,luminous-supreme-control_int100query,1,73
7,luminous-supreme-control_int100query,1,75
8,luminous-supreme-control_int100query,1,75
9,luminous-supreme-control_int100query,1,60
10,luminous-supreme-control_int100query,1,75
11,luminous-supreme-control_int100query,1,75
12,luminous-supreme-control_int100query,1,60
13,luminous-supreme-control_int100query,1,73
14,luminous-supreme-control_int100query,1,75
15,luminous-supreme-control_int100query,1,75
16,luminous-supreme-control_int100query,1,60
17,luminous-supreme-control_int100query,1,60
18,luminous-supreme-control_int100query,1,60
19,luminous-supreme-control_int100query,1,60
20,luminous-supreme-control_int100query,1,60
21,luminous-supreme-control_int100query,1,60
22,luminous-supreme-control_int100query,1,60
23,luminous-supreme-control_int100query,1,60
24,luminous-supreme-control_int100query,1,60
25,luminous-supreme-control_int100query,1,60
26,luminous-supreme-control_int100query,1,60
27,luminous-supreme-control_int100query,1,60
28,luminous-supreme-control_int100query,1,60
29,luminous-supreme-control_int100query,1,60
30,luminous-supreme-control_int100query,1,60
31,luminous-supreme-control_int100query,1,60
32,luminous-supreme-control_int100query,1,60
33,luminous-supreme-control_int100query,1,60
34,luminous-supreme-control_int100query,1,60
35,luminous-supreme-control_int100query,1,60
36,luminous-supreme-control_int100query,1,60
37,luminous-supreme-control_int100query,1,60
38,luminous-supreme-control_int100query,1,60
39,luminous-supreme-control_int100query,1,60
40,luminous-supreme-control_int100query,1,60
41,luminous-supreme-control_int100query,1,60
42,luminous-supreme-control_int100query,1,60
43,luminous-supreme-control_int100query,1,60
44,luminous-supreme-control_int100query,1,60
45,luminous-supreme-control_int100query,1,60
46,luminous-supreme-control_int100query,1,60
47,luminous-supreme-control_int100query,1,60
48,luminous-supreme-control_int100query,1,60
49,luminous-supreme-control_int100query,1,60
50,luminous-supreme-control_int100query,1,60
51,luminous-supreme-control_int100query,1,60
52,luminous-supreme-control_int100query,1,60
53,luminous-supreme-control_int100query,1,60
54,luminous-supreme-control_int100query,1,60
55,luminous-supreme-control_int100query,1,60
56,luminous-supreme-control_int100query,1,60
57,luminous-supreme-control_int100query,1,60
58,luminous-supreme-control_int100query,1,60
59,luminous-supreme-control_int100query,1,60
60,luminous-supreme-control_int100query,1,60
61,luminous-supreme-control_int100query,1,60
62,luminous-supreme-control_int100query,1,60
63,luminous-supreme-control_int100query,1,60
64,luminous-supreme-control_int100query,1,60
65,luminous-supreme-control_int100query,1,60
66,luminous-supreme-control_int100query,1,60
67,luminous-supreme-control_int100query,1,60
68,luminous-supreme-control_int100query,1,60
69,luminous-supreme-control_int100query,1,60
70,luminous-supreme-control_int100query,1,60
71,luminous-supreme-control_int100query,1,60
72,luminous-supreme-control_int100query,1,60
73,luminous-supreme-control_int100query,1,60
74,luminous-supreme-control_int100query,1,60
75,luminous-supreme-control_int100query,1,60
76,luminous-supreme-control_int100query,1,60
77,luminous-supreme-control_int100query,1,60
78,luminous-supreme-control_int100query,1,60
79,luminous-supreme-control_int100query,1,60
80,luminous-supreme-control_int100query,1,60
81,luminous-supreme-control_int100query,1,60
82,luminous-supreme-control_int100query,1,60
83,luminous-supreme-control_int100query,1,60
84,luminous-supreme-control_int100query,1,60
85,luminous-supreme-control_int100query,1,60
86,luminous-supreme-control_int100query,1,60
87,luminous-supreme-control_int100query,1,60
88,luminous-supreme-control_int100query,1,60
89,luminous-supreme-control_int100query,1,60
90,luminous-supreme-control_int100query,1,60
91,luminous-supreme-control_int100query,1,60
92,luminous-supreme-control_int100query,1,60
93,luminous-supreme-control_int100query,1,60
94,luminous-supreme-control_int100query,1,60
95,luminous-supreme-control_int100query,1,60
96,luminous-supreme-control_int100query,1,60
97,luminous-supreme-control_int100query,1,60
98,luminous-supreme-control_int100query,1,60
99,luminous-supreme-control_int100query,1,60
100,luminous-supreme-control_int100query,5,73
101,luminous-supreme-control_int100query,5,75
102,luminous-supreme-control_int100query,5,60
103,luminous-supreme-control_int100query,5,75
104,luminous-supreme-control_int100query,5,60
105,luminous-supreme-control_int100query,5,70
106,luminous-supreme-control_int100query,5,60
107,luminous-supreme-control_int100query,5,73
108,luminous-supreme-control_int100query,5,70
109,luminous-supreme-control_int100query,5,45
110,luminous-supreme-control_int100query,5,70
111,luminous-supreme-control_int100query,5,70
112,luminous-supreme-control_int100query,5,60
113,luminous-supreme-control_int100query,5,73
114,luminous-supreme-control_int100query,5,73
115,luminous-supreme-control_int100query,5,60
116,luminous-supreme-control_int100query,5,73
117,luminous-supreme-control_int100query,5,60
118,luminous-supreme-control_int100query,5,60
119,luminous-supreme-control_int100query,5,60
120,luminous-supreme-control_int100query,5,73
121,luminous-supreme-control_int100query,5,73
122,luminous-supreme-control_int100query,5,70
123,luminous-supreme-control_int100query,5,70
124,luminous-supreme-control_int100query,5,60
125,luminous-supreme-control_int100query,5,60
126,luminous-supreme-control_int100query,5,70
127,luminous-supreme-control_int100query,5,60
128,luminous-supreme-control_int100query,5,60
129,luminous-supreme-control_int100query,5,75
130,luminous-supreme-control_int100query,5,60
131,luminous-supreme-control_int100query,5,75
132,luminous-supreme-control_int100query,5,60
133,luminous-supreme-control_int100query,5,70
134,luminous-supreme-control_int100query,5,73
135,luminous-supreme-control_int100query,5,70
136,luminous-supreme-control_int100query,5,60
137,luminous-supreme-control_int100query,5,75
138,luminous-supreme-control_int100query,5,73
139,luminous-supreme-control_int100query,5,73
140,luminous-supreme-control_int100query,5,45
141,luminous-supreme-control_int100query,5,73
142,luminous-supreme-control_int100query,5,70
143,luminous-supreme-control_int100query,5,70
144,luminous-supreme-control_int100query,5,73
145,luminous-supreme-control_int100query,5,60
146,luminous-supreme-control_int100query,5,73
147,luminous-supreme-control_int100query,5,73
148,luminous-supreme-control_int100query,5,60
149,luminous-supreme-control_int100query,5,73
150,luminous-supreme-control_int100query,5,45
151,luminous-supreme-control_int100query,5,73
152,luminous-supreme-control_int100query,5,60
153,luminous-supreme-control_int100query,5,60
154,luminous-supreme-control_int100query,5,70
155,luminous-supreme-control_int100query,5,70
156,luminous-supreme-control_int100query,5,73
157,luminous-supreme-control_int100query,5,73
158,luminous-supreme-control_int100query,5,75
159,luminous-supreme-control_int100query,5,70
160,luminous-supreme-control_int100query,5,73
161,luminous-supreme-control_int100query,5,73
162,luminous-supreme-control_int100query,5,60
163,luminous-supreme-control_int100query,5,75
164,luminous-supreme-control_int100query,5,45
165,luminous-supreme-control_int100query,5,75
166,luminous-supreme-control_int100query,5,70
167,luminous-supreme-control_int100query,5,73
168,luminous-supreme-control_int100query,5,73
169,luminous-supreme-control_int100query,5,45
170,luminous-supreme-control_int100query,5,70
171,luminous-supreme-control_int100query,5,73
172,luminous-supreme-control_int100query,5,60
173,luminous-supreme-control_int100query,5,73
174,luminous-supreme-control_int100query,5,73
175,luminous-supreme-control_int100query,5,73
176,luminous-supreme-control_int100query,5,73
177,luminous-supreme-control_int100query,5,60
178,luminous-supreme-control_int100query,5,45
179,luminous-supreme-control_int100query,5,60
180,luminous-supreme-control_int100query,5,70
181,luminous-supreme-control_int100query,5,60
182,luminous-supreme-control_int100query,5,70
183,luminous-supreme-control_int100query,5,73
184,luminous-supreme-control_int100query,5,73
185,luminous-supreme-control_int100query,5,70
186,luminous-supreme-control_int100query,10,75
187,luminous-supreme-control_int100query,10,60
188,luminous-supreme-control_int100query,10,70
189,luminous-supreme-control_int100query,10,60
190,luminous-supreme-control_int100query,10,70
191,luminous-supreme-control_int100query,10,73
192,luminous-supreme-control_int100query,10,60
193,luminous-supreme-control_int100query,10,60
194,luminous-supreme-control_int100query,10,75
195,luminous-supreme-control_int100query,10,73
196,luminous-supreme-control_int100query,10,60
197,luminous-supreme-control_int100query,10,70
198,luminous-supreme-control_int100query,10,70
199,luminous-supreme-control_int100query,10,73
200,luminous-supreme-control_int100query,10,45
201,luminous-supreme-control_int100query,10,75
202,luminous-supreme-control_int100query,10,60
203,luminous-supreme-control_int100query,10,73
204,luminous-supreme-control_int100query,10,73
205,luminous-supreme-control_int100query,10,60
206,luminous-supreme-control_int100query,10,70
207,luminous-supreme-control_int100query,10,73
208,luminous-supreme-control_int100query,10,73
209,luminous-supreme-control_int100query,10,73
210,luminous-supreme-control_int100query,10,60
211,luminous-supreme-control_int100query,10,45
212,luminous-supreme-control_int100query,10,73
213,luminous-supreme-control_int100query,10,70
214,luminous-supreme-control_int100query,10,75
215,luminous-supreme-control_int100query,10,70
216,luminous-supreme-control_int100query,10,70
217,luminous-supreme-control_int100query,10,73
218,luminous-supreme-control_int100query,10,60
219,luminous-supreme-control_int100query,10,75
220,luminous-supreme-control_int100query,10,73
221,luminous-supreme-control_int100query,10,75
222,luminous-supreme-control_int100query,10,73
223,luminous-supreme-control_int100query,10,70
224,luminous-supreme-control_int100query,10,60
225,luminous-supreme-control_int100query,10,45
226,luminous-supreme-control_int100query,10,45
227,luminous-supreme-control_int100query,10,73
228,luminous-supreme-control_int100query,10,60
229,luminous-supreme-control_int100query,10,60
230,luminous-supreme-control_int100query,10,75
231,luminous-supreme-control_int100query,10,73
232,luminous-supreme-control_int100query,10,73
233,luminous-supreme-control_int100query,10,73
234,luminous-supreme-control_int100query,10,73
235,luminous-supreme-control_int100query,10,70
236,luminous-supreme-control_int100query,10,60
237,luminous-supreme-control_int100query,10,60
238,luminous-supreme-control_int100query,10,70
239,luminous-supreme-control_int100query,10,60
240,luminous-supreme-control_int100query,10,45
241,luminous-supreme-control_int100query,10,45
242,luminous-supreme-control_int100query,10,70
243,luminous-supreme-control_int100query,10,75
244,luminous-supreme-control_int100query,10,73
245,luminous-supreme-control_int100query,10,70
246,luminous-supreme-control_int100query,10,60
247,luminous-supreme-control_int100query,10,73
248,luminous-supreme-control_int100query,10,73
249,luminous-supreme-control_int100query,10,73
250,luminous-supreme-control_int100query,10,45
251,luminous-supreme-control_int100query,10,70
252,luminous-supreme-control_int100query,10,73
253,luminous-supreme-control_int100query,10,73
254,luminous-supreme-control_int100query,10,60
255,luminous-supreme-control_int100query,10,70
256,luminous-supreme-control_int100query,10,73
257,luminous-supreme-control_int100query,10,70
258,luminous-supreme-control_int100query,10,60
259,luminous-supreme-control_int100query,10,70
260,luminous-supreme-control_int100query,10,75
261,luminous-supreme-control_int100query,10,73
262,luminous-supreme-control_int100query,10,60
263,luminous-supreme-control_int100query,10,75
264,luminous-supreme-control_int100query,10,60
265,luminous-supreme-control_int100query,10,73
266,luminous-supreme-control_int100query,10,60
267,luminous-supreme-control_int100query,10,73
268,luminous-supreme-control_int100query,10,45
269,luminous-supreme-control_int100query,10,60
270,luminous-supreme-control_int100query,10,60
271,luminous-supreme-control_int100query,15,75
272,luminous-supreme-control_int100query,15,70
273,luminous-supreme-control_int100query,15,60
274,luminous-supreme-control_int100query,15,73
