idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.1,70
1,luminous-supreme-control_int100query,0.1,70
2,luminous-supreme-control_int100query,0.1,70
3,luminous-supreme-control_int100query,0.1,70
4,luminous-supreme-control_int100query,0.1,70
5,luminous-supreme-control_int100query,0.1,70
6,luminous-supreme-control_int100query,0.1,70
7,luminous-supreme-control_int100query,0.1,70
8,luminous-supreme-control_int100query,0.1,70
9,luminous-supreme-control_int100query,0.1,70
10,luminous-supreme-control_int100query,0.1,70
11,luminous-supreme-control_int100query,0.1,70
12,luminous-supreme-control_int100query,0.1,70
13,luminous-supreme-control_int100query,0.1,70
14,luminous-supreme-control_int100query,0.1,70
15,luminous-supreme-control_int100query,0.1,70
16,luminous-supreme-control_int100query,0.1,70
17,luminous-supreme-control_int100query,0.1,70
18,luminous-supreme-control_int100query,0.1,70
19,luminous-supreme-control_int100query,0.1,70
20,luminous-supreme-control_int100query,0.1,70
21,luminous-supreme-control_int100query,0.1,70
22,luminous-supreme-control_int100query,0.1,70
23,luminous-supreme-control_int100query,0.1,70
24,luminous-supreme-control_int100query,0.1,70
25,luminous-supreme-control_int100query,0.1,70
26,luminous-supreme-control_int100query,0.1,70
27,luminous-supreme-control_int100query,0.1,70
28,luminous-supreme-control_int100query,0.1,70
29,luminous-supreme-control_int100query,0.1,70
30,luminous-supreme-control_int100query,0.1,70
31,luminous-supreme-control_int100query,0.1,70
32,luminous-supreme-control_int100query,0.1,70
33,luminous-supreme-control_int100query,0.1,70
34,luminous-supreme-control_int100query,0.1,70
35,luminous-supreme-control_int100query,0.1,70
36,luminous-supreme-control_int100query,0.1,70
37,luminous-supreme-control_int100query,0.1,70
38,luminous-supreme-control_int100query,0.1,70
39,luminous-supreme-control_int100query,0.1,70
40,luminous-supreme-control_int100query,0.1,70
41,luminous-supreme-control_int100query,0.1,70
42,luminous-supreme-control_int100query,0.1,70
43,luminous-supreme-control_int100query,0.1,70
44,luminous-supreme-control_int100query,0.1,70
45,luminous-supreme-control_int100query,0.1,70
46,luminous-supreme-control_int100query,0.1,70
47,luminous-supreme-control_int100query,0.1,70
48,luminous-supreme-control_int100query,0.1,70
