idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,1,70
1,luminous-supreme-control_int100query,1,70
2,luminous-supreme-control_int100query,1,45
3,luminous-supreme-control_int100query,1,45
4,luminous-supreme-control_int100query,1,45
5,luminous-supreme-control_int100query,1,70
6,luminous-supreme-control_int100query,1,45
7,luminous-supreme-control_int100query,1,45
8,luminous-supreme-control_int100query,1,70
9,luminous-supreme-control_int100query,1,70
10,luminous-supreme-control_int100query,1,70
11,luminous-supreme-control_int100query,1,70
12,luminous-supreme-control_int100query,1,70
13,luminous-supreme-control_int100query,1,70
14,luminous-supreme-control_int100query,1,45
15,luminous-supreme-control_int100query,1,45
16,luminous-supreme-control_int100query,1,45
17,luminous-supreme-control_int100query,1,45
18,luminous-supreme-control_int100query,1,45
19,luminous-supreme-control_int100query,1,45
20,luminous-supreme-control_int100query,1,45
21,luminous-supreme-control_int100query,1,45
22,luminous-supreme-control_int100query,1,45
23,luminous-supreme-control_int100query,1,45
24,luminous-supreme-control_int100query,1,45
25,luminous-supreme-control_int100query,1,45
26,luminous-supreme-control_int100query,1,45
27,luminous-supreme-control_int100query,1,45
28,luminous-supreme-control_int100query,1,45
29,luminous-supreme-control_int100query,1,45
30,luminous-supreme-control_int100query,1,45
31,luminous-supreme-control_int100query,1,45
32,luminous-supreme-control_int100query,1,45
33,luminous-supreme-control_int100query,1,45
34,luminous-supreme-control_int100query,1,45
35,luminous-supreme-control_int100query,1,45
36,luminous-supreme-control_int100query,1,45
37,luminous-supreme-control_int100query,1,45
38,luminous-supreme-control_int100query,1,45
39,luminous-supreme-control_int100query,1,45
40,luminous-supreme-control_int100query,1,45
41,luminous-supreme-control_int100query,1,45
42,luminous-supreme-control_int100query,1,45
43,luminous-supreme-control_int100query,1,45
44,luminous-supreme-control_int100query,1,45
45,luminous-supreme-control_int100query,1,45
46,luminous-supreme-control_int100query,1,45
47,luminous-supreme-control_int100query,1,45
48,luminous-supreme-control_int100query,1,45
49,luminous-supreme-control_int100query,1,45
50,luminous-supreme-control_int100query,1,45
51,luminous-supreme-control_int100query,1,45
52,luminous-supreme-control_int100query,1,45
53,luminous-supreme-control_int100query,1,45
54,luminous-supreme-control_int100query,1,45
55,luminous-supreme-control_int100query,1,45
56,luminous-supreme-control_int100query,1,45
57,luminous-supreme-control_int100query,1,45
58,luminous-supreme-control_int100query,1,45
59,luminous-supreme-control_int100query,1,45
60,luminous-supreme-control_int100query,1,45
61,luminous-supreme-control_int100query,1,45
62,luminous-supreme-control_int100query,1,45
63,luminous-supreme-control_int100query,1,45
64,luminous-supreme-control_int100query,1,45
65,luminous-supreme-control_int100query,1,45
66,luminous-supreme-control_int100query,1,45
67,luminous-supreme-control_int100query,1,45
68,luminous-supreme-control_int100query,1,45
69,luminous-supreme-control_int100query,1,45
70,luminous-supreme-control_int100query,1,45
71,luminous-supreme-control_int100query,1,45
72,luminous-supreme-control_int100query,1,45
73,luminous-supreme-control_int100query,1,45
74,luminous-supreme-control_int100query,1,45
75,luminous-supreme-control_int100query,1,45
76,luminous-supreme-control_int100query,1,45
77,luminous-supreme-control_int100query,1,45
78,luminous-supreme-control_int100query,1,45
79,luminous-supreme-control_int100query,1,45
80,luminous-supreme-control_int100query,1,45
81,luminous-supreme-control_int100query,1,45
82,luminous-supreme-control_int100query,1,45
83,luminous-supreme-control_int100query,1,45
84,luminous-supreme-control_int100query,1,45
85,luminous-supreme-control_int100query,1,45
86,luminous-supreme-control_int100query,1,45
87,luminous-supreme-control_int100query,1,45
88,luminous-supreme-control_int100query,1,45
