idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,1,70
1,luminous-supreme-control_int100query,1,70
2,luminous-supreme-control_int100query,1,70
3,luminous-supreme-control_int100query,1,70
4,luminous-supreme-control_int100query,1,70
5,luminous-supreme-control_int100query,1,70
6,luminous-supreme-control_int100query,1,70
7,luminous-supreme-control_int100query,1,70
8,luminous-supreme-control_int100query,1,70
9,luminous-supreme-control_int100query,1,70
10,luminous-supreme-control_int100query,1,70
11,luminous-supreme-control_int100query,1,70
12,luminous-supreme-control_int100query,1,70
13,luminous-supreme-control_int100query,1,70
14,luminous-supreme-control_int100query,1,70
15,luminous-supreme-control_int100query,1,70
16,luminous-supreme-control_int100query,1,70
17,luminous-supreme-control_int100query,1,70
18,luminous-supreme-control_int100query,1,70
19,luminous-supreme-control_int100query,1,70
20,luminous-supreme-control_int100query,1,70
21,luminous-supreme-control_int100query,1,70
22,luminous-supreme-control_int100query,1,70
23,luminous-supreme-control_int100query,1,70
24,luminous-supreme-control_int100query,1,70
25,luminous-supreme-control_int100query,1,70
26,luminous-supreme-control_int100query,1,70
27,luminous-supreme-control_int100query,1,70
28,luminous-supreme-control_int100query,1,70
29,luminous-supreme-control_int100query,1,70
30,luminous-supreme-control_int100query,1,70
31,luminous-supreme-control_int100query,1,70
32,luminous-supreme-control_int100query,1,70
33,luminous-supreme-control_int100query,1,70
34,luminous-supreme-control_int100query,1,70
35,luminous-supreme-control_int100query,1,70
36,luminous-supreme-control_int100query,1,70
37,luminous-supreme-control_int100query,1,70
38,luminous-supreme-control_int100query,1,70
39,luminous-supreme-control_int100query,1,70
40,luminous-supreme-control_int100query,1,70
41,luminous-supreme-control_int100query,1,70
42,luminous-supreme-control_int100query,1,70
43,luminous-supreme-control_int100query,1,70
44,luminous-supreme-control_int100query,1,70
45,luminous-supreme-control_int100query,1,70
46,luminous-supreme-control_int100query,1,70
47,luminous-supreme-control_int100query,1,70
48,luminous-supreme-control_int100query,1,70
49,luminous-supreme-control_int100query,1,70
50,luminous-supreme-control_int100query,1,70
51,luminous-supreme-control_int100query,1,70
52,luminous-supreme-control_int100query,1,70
53,luminous-supreme-control_int100query,1,70
54,luminous-supreme-control_int100query,1,70
55,luminous-supreme-control_int100query,1,70
56,luminous-supreme-control_int100query,1,70
57,luminous-supreme-control_int100query,1,70
58,luminous-supreme-control_int100query,1,70
59,luminous-supreme-control_int100query,1,70
60,luminous-supreme-control_int100query,1,70
61,luminous-supreme-control_int100query,1,70
62,luminous-supreme-control_int100query,1,70
63,luminous-supreme-control_int100query,1,70
64,luminous-supreme-control_int100query,1,70
65,luminous-supreme-control_int100query,1,70
66,luminous-supreme-control_int100query,1,70
67,luminous-supreme-control_int100query,1,70
68,luminous-supreme-control_int100query,1,70
69,luminous-supreme-control_int100query,1,70
70,luminous-supreme-control_int100query,1,70
71,luminous-supreme-control_int100query,1,70
72,luminous-supreme-control_int100query,1,70
73,luminous-supreme-control_int100query,1,70
74,luminous-supreme-control_int100query,1,70
75,luminous-supreme-control_int100query,1,70
76,luminous-supreme-control_int100query,1,70
77,luminous-supreme-control_int100query,5,60
78,luminous-supreme-control_int100query,5,70
79,luminous-supreme-control_int100query,5,70
80,luminous-supreme-control_int100query,5,70
81,luminous-supreme-control_int100query,5,70
82,luminous-supreme-control_int100query,5,73
83,luminous-supreme-control_int100query,5,70
84,luminous-supreme-control_int100query,5,75
85,luminous-supreme-control_int100query,5,75
86,luminous-supreme-control_int100query,5,70
87,luminous-supreme-control_int100query,5,73
88,luminous-supreme-control_int100query,5,70
