idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,1,75
1,luminous-supreme-control_int100query,1,75
2,luminous-supreme-control_int100query,1,75
3,luminous-supreme-control_int100query,1,75
4,luminous-supreme-control_int100query,1,75
5,luminous-supreme-control_int100query,1,75
6,luminous-supreme-control_int100query,1,75
7,luminous-supreme-control_int100query,1,75
8,luminous-supreme-control_int100query,1,75
9,luminous-supreme-control_int100query,1,75
10,luminous-supreme-control_int100query,1,75
11,luminous-supreme-control_int100query,1,75
12,luminous-supreme-control_int100query,1,75
13,luminous-supreme-control_int100query,1,75
14,luminous-supreme-control_int100query,1,75
15,luminous-supreme-control_int100query,1,75
16,luminous-supreme-control_int100query,1,75
17,luminous-supreme-control_int100query,1,75
18,luminous-supreme-control_int100query,1,75
19,luminous-supreme-control_int100query,1,75
20,luminous-supreme-control_int100query,1,75
21,luminous-supreme-control_int100query,1,75
22,luminous-supreme-control_int100query,1,75
23,luminous-supreme-control_int100query,1,75
24,luminous-supreme-control_int100query,1,75
25,luminous-supreme-control_int100query,1,75
26,luminous-supreme-control_int100query,1,75
27,luminous-supreme-control_int100query,1,75
28,luminous-supreme-control_int100query,1,75
29,luminous-supreme-control_int100query,1,75
30,luminous-supreme-control_int100query,1,75
31,luminous-supreme-control_int100query,1,75
32,luminous-supreme-control_int100query,1,75
33,luminous-supreme-control_int100query,1,75
34,luminous-supreme-control_int100query,1,75
35,luminous-supreme-control_int100query,1,75
36,luminous-supreme-control_int100query,1,75
37,luminous-supreme-control_int100query,1,75
38,luminous-supreme-control_int100query,1,75
39,luminous-supreme-control_int100query,1,75
40,luminous-supreme-control_int100query,1,75
41,luminous-supreme-control_int100query,1,75
42,luminous-supreme-control_int100query,1,75
43,luminous-supreme-control_int100query,1,75
44,luminous-supreme-control_int100query,1,75
45,luminous-supreme-control_int100query,1,75
46,luminous-supreme-control_int100query,1,75
47,luminous-supreme-control_int100query,1,75
48,luminous-supreme-control_int100query,1,75
49,luminous-supreme-control_int100query,1,75
50,luminous-supreme-control_int100query,1,75
51,luminous-supreme-control_int100query,1,75
52,luminous-supreme-control_int100query,1,75
53,luminous-supreme-control_int100query,1,75
54,luminous-supreme-control_int100query,1,75
55,luminous-supreme-control_int100query,1,75
56,luminous-supreme-control_int100query,1,75
57,luminous-supreme-control_int100query,1,75
58,luminous-supreme-control_int100query,1,75
59,luminous-supreme-control_int100query,1,75
60,luminous-supreme-control_int100query,1,75
61,luminous-supreme-control_int100query,1,75
62,luminous-supreme-control_int100query,1,75
63,luminous-supreme-control_int100query,1,75
64,luminous-supreme-control_int100query,1,75
65,luminous-supreme-control_int100query,1,75
66,luminous-supreme-control_int100query,1,75
67,luminous-supreme-control_int100query,1,75
68,luminous-supreme-control_int100query,1,75
69,luminous-supreme-control_int100query,1,75
70,luminous-supreme-control_int100query,1,75
71,luminous-supreme-control_int100query,1,75
72,luminous-supreme-control_int100query,1,75
73,luminous-supreme-control_int100query,1,75
74,luminous-supreme-control_int100query,1,75
75,luminous-supreme-control_int100query,1,75
76,luminous-supreme-control_int100query,1,75
77,luminous-supreme-control_int100query,1,75
78,luminous-supreme-control_int100query,1,75
79,luminous-supreme-control_int100query,1,75
80,luminous-supreme-control_int100query,1,75
81,luminous-supreme-control_int100query,1,75
82,luminous-supreme-control_int100query,1,75
83,luminous-supreme-control_int100query,1,75
84,luminous-supreme-control_int100query,1,75
85,luminous-supreme-control_int100query,1,75
86,luminous-supreme-control_int100query,1,75
87,luminous-supreme-control_int100query,1,75
88,luminous-supreme-control_int100query,1,75
89,luminous-supreme-control_int100query,1,75
90,luminous-supreme-control_int100query,1,75
91,luminous-supreme-control_int100query,1,75
92,luminous-supreme-control_int100query,1,75
93,luminous-supreme-control_int100query,1,75
94,luminous-supreme-control_int100query,1,75
95,luminous-supreme-control_int100query,1,75
96,luminous-supreme-control_int100query,1,75
97,luminous-supreme-control_int100query,1,75
98,luminous-supreme-control_int100query,1,75
99,luminous-supreme-control_int100query,1,75
100,luminous-supreme-control_int100query,5,60
101,luminous-supreme-control_int100query,5,45
102,luminous-supreme-control_int100query,5,60
103,luminous-supreme-control_int100query,5,45
104,luminous-supreme-control_int100query,5,60
105,luminous-supreme-control_int100query,5,60
106,luminous-supreme-control_int100query,5,70
107,luminous-supreme-control_int100query,5,60
108,luminous-supreme-control_int100query,5,60
109,luminous-supreme-control_int100query,5,75
110,luminous-supreme-control_int100query,5,60
111,luminous-supreme-control_int100query,5,73
112,luminous-supreme-control_int100query,5,45
113,luminous-supreme-control_int100query,5,60
114,luminous-supreme-control_int100query,5,45
115,luminous-supreme-control_int100query,5,45
116,luminous-supreme-control_int100query,5,60
117,luminous-supreme-control_int100query,5,60
118,luminous-supreme-control_int100query,5,73
119,luminous-supreme-control_int100query,5,60
120,luminous-supreme-control_int100query,5,73
121,luminous-supreme-control_int100query,5,60
122,luminous-supreme-control_int100query,5,75
123,luminous-supreme-control_int100query,5,60
124,luminous-supreme-control_int100query,5,70
125,luminous-supreme-control_int100query,5,60
126,luminous-supreme-control_int100query,5,60
127,luminous-supreme-control_int100query,5,60
128,luminous-supreme-control_int100query,5,73
129,luminous-supreme-control_int100query,5,60
130,luminous-supreme-control_int100query,5,45
131,luminous-supreme-control_int100query,5,45
132,luminous-supreme-control_int100query,5,70
133,luminous-supreme-control_int100query,5,60
134,luminous-supreme-control_int100query,5,45
135,luminous-supreme-control_int100query,5,70
136,luminous-supreme-control_int100query,5,75
137,luminous-supreme-control_int100query,5,73
138,luminous-supreme-control_int100query,5,70
139,luminous-supreme-control_int100query,5,70
140,luminous-supreme-control_int100query,5,45
141,luminous-supreme-control_int100query,5,73
142,luminous-supreme-control_int100query,5,70
143,luminous-supreme-control_int100query,5,60
144,luminous-supreme-control_int100query,5,60
145,luminous-supreme-control_int100query,5,45
146,luminous-supreme-control_int100query,5,60
147,luminous-supreme-control_int100query,5,60
148,luminous-supreme-control_int100query,5,45
149,luminous-supreme-control_int100query,5,75
150,luminous-supreme-control_int100query,5,60
151,luminous-supreme-control_int100query,5,75
152,luminous-supreme-control_int100query,5,45
153,luminous-supreme-control_int100query,5,75
154,luminous-supreme-control_int100query,5,60
155,luminous-supreme-control_int100query,5,45
156,luminous-supreme-control_int100query,5,45
157,luminous-supreme-control_int100query,5,70
158,luminous-supreme-control_int100query,5,70
159,luminous-supreme-control_int100query,5,70
160,luminous-supreme-control_int100query,5,75
161,luminous-supreme-control_int100query,5,70
162,luminous-supreme-control_int100query,5,75
163,luminous-supreme-control_int100query,5,60
164,luminous-supreme-control_int100query,5,75
165,luminous-supreme-control_int100query,5,73
166,luminous-supreme-control_int100query,5,70
167,luminous-supreme-control_int100query,5,70
168,luminous-supreme-control_int100query,5,45
169,luminous-supreme-control_int100query,5,60
170,luminous-supreme-control_int100query,5,73
171,luminous-supreme-control_int100query,5,45
172,luminous-supreme-control_int100query,10,45
173,luminous-supreme-control_int100query,10,45
174,luminous-supreme-control_int100query,10,70
175,luminous-supreme-control_int100query,10,75
176,luminous-supreme-control_int100query,10,73
177,luminous-supreme-control_int100query,10,60
178,luminous-supreme-control_int100query,10,60
179,luminous-supreme-control_int100query,10,70
180,luminous-supreme-control_int100query,10,75
181,luminous-supreme-control_int100query,10,75
182,luminous-supreme-control_int100query,10,60
183,luminous-supreme-control_int100query,10,70
184,luminous-supreme-control_int100query,10,60
185,luminous-supreme-control_int100query,10,75
186,luminous-supreme-control_int100query,10,70
187,luminous-supreme-control_int100query,10,73
188,luminous-supreme-control_int100query,10,73
189,luminous-supreme-control_int100query,10,75
190,luminous-supreme-control_int100query,10,60
191,luminous-supreme-control_int100query,10,73
192,luminous-supreme-control_int100query,10,73
193,luminous-supreme-control_int100query,10,75
194,luminous-supreme-control_int100query,10,75
195,luminous-supreme-control_int100query,10,73
196,luminous-supreme-control_int100query,10,73
197,luminous-supreme-control_int100query,10,60
198,luminous-supreme-control_int100query,10,60
199,luminous-supreme-control_int100query,10,60
200,luminous-supreme-control_int100query,10,75
201,luminous-supreme-control_int100query,10,73
202,luminous-supreme-control_int100query,10,75
203,luminous-supreme-control_int100query,10,45
204,luminous-supreme-control_int100query,10,73
205,luminous-supreme-control_int100query,10,73
206,luminous-supreme-control_int100query,10,45
207,luminous-supreme-control_int100query,10,45
208,luminous-supreme-control_int100query,10,45
209,luminous-supreme-control_int100query,10,70
210,luminous-supreme-control_int100query,10,73
211,luminous-supreme-control_int100query,10,45
212,luminous-supreme-control_int100query,10,75
213,luminous-supreme-control_int100query,10,45
214,luminous-supreme-control_int100query,10,60
215,luminous-supreme-control_int100query,10,73
216,luminous-supreme-control_int100query,10,60
217,luminous-supreme-control_int100query,10,45
218,luminous-supreme-control_int100query,10,70
219,luminous-supreme-control_int100query,10,45
220,luminous-supreme-control_int100query,10,45
221,luminous-supreme-control_int100query,10,45
222,luminous-supreme-control_int100query,10,73
223,luminous-supreme-control_int100query,10,60
224,luminous-supreme-control_int100query,10,45
225,luminous-supreme-control_int100query,10,75
226,luminous-supreme-control_int100query,10,60
227,luminous-supreme-control_int100query,10,73
228,luminous-supreme-control_int100query,10,60
229,luminous-supreme-control_int100query,10,60
230,luminous-supreme-control_int100query,10,70
231,luminous-supreme-control_int100query,10,75
232,luminous-supreme-control_int100query,10,73
233,luminous-supreme-control_int100query,10,75
234,luminous-supreme-control_int100query,10,70
235,luminous-supreme-control_int100query,10,70
236,luminous-supreme-control_int100query,15,70
237,luminous-supreme-control_int100query,15,75
238,luminous-supreme-control_int100query,15,70
239,luminous-supreme-control_int100query,15,75
240,luminous-supreme-control_int100query,15,72
241,luminous-supreme-control_int100query,15,73
242,luminous-supreme-control_int100query,15,45
243,luminous-supreme-control_int100query,15,60
244,luminous-supreme-control_int100query,15,75
245,luminous-supreme-control_int100query,15,75
246,luminous-supreme-control_int100query,15,60
247,luminous-supreme-control_int100query,15,70
248,luminous-supreme-control_int100query,15,60
249,luminous-supreme-control_int100query,15,45
250,luminous-supreme-control_int100query,15,60
251,luminous-supreme-control_int100query,15,45
252,luminous-supreme-control_int100query,15,45
253,luminous-supreme-control_int100query,15,73
254,luminous-supreme-control_int100query,15,60
255,luminous-supreme-control_int100query,15,45
256,luminous-supreme-control_int100query,15,60
257,luminous-supreme-control_int100query,15,45
258,luminous-supreme-control_int100query,15,73
259,luminous-supreme-control_int100query,15,45
260,luminous-supreme-control_int100query,15,45
261,luminous-supreme-control_int100query,15,45
262,luminous-supreme-control_int100query,15,70
263,luminous-supreme-control_int100query,15,60
264,luminous-supreme-control_int100query,15,60
265,luminous-supreme-control_int100query,15,75
266,luminous-supreme-control_int100query,15,45
267,luminous-supreme-control_int100query,15,75
268,luminous-supreme-control_int100query,15,45
269,luminous-supreme-control_int100query,15,70
270,luminous-supreme-control_int100query,15,60
271,luminous-supreme-control_int100query,15,70
272,luminous-supreme-control_int100query,15,45
273,luminous-supreme-control_int100query,15,75
274,luminous-supreme-control_int100query,15,75
