idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.2,70
1,luminous-supreme-control_int100query,0.2,70
2,luminous-supreme-control_int100query,0.2,70
3,luminous-supreme-control_int100query,0.2,70
4,luminous-supreme-control_int100query,0.2,70
5,luminous-supreme-control_int100query,0.2,70
6,luminous-supreme-control_int100query,0.2,70
7,luminous-supreme-control_int100query,0.2,70
8,luminous-supreme-control_int100query,0.2,70
9,luminous-supreme-control_int100query,0.2,70
10,luminous-supreme-control_int100query,0.2,70
11,luminous-supreme-control_int100query,0.2,70
12,luminous-supreme-control_int100query,0.2,70
13,luminous-supreme-control_int100query,0.2,70
14,luminous-supreme-control_int100query,0.2,70
15,luminous-supreme-control_int100query,0.2,70
16,luminous-supreme-control_int100query,0.2,70
17,luminous-supreme-control_int100query,0.2,70
18,luminous-supreme-control_int100query,0.2,70
19,luminous-supreme-control_int100query,0.2,70
20,luminous-supreme-control_int100query,0.2,70
21,luminous-supreme-control_int100query,0.2,70
22,luminous-supreme-control_int100query,0.2,70
23,luminous-supreme-control_int100query,0.2,70
24,luminous-supreme-control_int100query,0.2,70
25,luminous-supreme-control_int100query,0.2,70
26,luminous-supreme-control_int100query,0.2,70
27,luminous-supreme-control_int100query,0.2,70
28,luminous-supreme-control_int100query,0.2,70
29,luminous-supreme-control_int100query,0.2,70
30,luminous-supreme-control_int100query,0.2,70
31,luminous-supreme-control_int100query,0.2,70
32,luminous-supreme-control_int100query,0.2,70
33,luminous-supreme-control_int100query,0.2,70
34,luminous-supreme-control_int100query,0.2,70
35,luminous-supreme-control_int100query,0.2,70
36,luminous-supreme-control_int100query,0.2,70
37,luminous-supreme-control_int100query,0.2,70
38,luminous-supreme-control_int100query,0.2,70
39,luminous-supreme-control_int100query,0.2,70
40,luminous-supreme-control_int100query,0.2,70
41,luminous-supreme-control_int100query,0.2,70
42,luminous-supreme-control_int100query,0.2,70
43,luminous-supreme-control_int100query,0.2,70
44,luminous-supreme-control_int100query,0.2,70
45,luminous-supreme-control_int100query,0.2,70
46,luminous-supreme-control_int100query,0.2,70
47,luminous-supreme-control_int100query,0.2,70
48,luminous-supreme-control_int100query,0.2,70
49,luminous-supreme-control_int100query,0.2,70
50,luminous-supreme-control_int100query,0.2,70
51,luminous-supreme-control_int100query,0.2,70
52,luminous-supreme-control_int100query,0.2,70
53,luminous-supreme-control_int100query,0.2,70
54,luminous-supreme-control_int100query,0.2,70
55,luminous-supreme-control_int100query,0.2,70
56,luminous-supreme-control_int100query,0.2,70
57,luminous-supreme-control_int100query,0.2,70
58,luminous-supreme-control_int100query,0.2,70
59,luminous-supreme-control_int100query,0.2,70
60,luminous-supreme-control_int100query,0.2,70
61,luminous-supreme-control_int100query,0.2,70
62,luminous-supreme-control_int100query,0.2,70
63,luminous-supreme-control_int100query,0.2,70
64,luminous-supreme-control_int100query,0.2,70
65,luminous-supreme-control_int100query,0.2,70
66,luminous-supreme-control_int100query,0.2,70
67,luminous-supreme-control_int100query,0.2,70
68,luminous-supreme-control_int100query,0.2,70
69,luminous-supreme-control_int100query,0.2,70
70,luminous-supreme-control_int100query,0.2,70
71,luminous-supreme-control_int100query,0.2,70
72,luminous-supreme-control_int100query,0.2,70
73,luminous-supreme-control_int100query,0.2,70
74,luminous-supreme-control_int100query,0.2,70
75,luminous-supreme-control_int100query,0.2,70
76,luminous-supreme-control_int100query,0.2,70
77,luminous-supreme-control_int100query,0.2,70
78,luminous-supreme-control_int100query,0.2,70
79,luminous-supreme-control_int100query,0.2,70
80,luminous-supreme-control_int100query,0.2,70
81,luminous-supreme-control_int100query,0.2,70
82,luminous-supreme-control_int100query,0.3,70
83,luminous-supreme-control_int100query,0.3,70
84,luminous-supreme-control_int100query,0.3,70
85,luminous-supreme-control_int100query,0.3,70
86,luminous-supreme-control_int100query,0.3,70
87,luminous-supreme-control_int100query,0.3,75
88,luminous-supreme-control_int100query,0.3,70
89,luminous-supreme-control_int100query,0.3,70
90,luminous-supreme-control_int100query,0.3,70
91,luminous-supreme-control_int100query,0.3,70
92,luminous-supreme-control_int100query,0.3,70
93,luminous-supreme-control_int100query,0.3,70
94,luminous-supreme-control_int100query,0.3,70
95,luminous-supreme-control_int100query,0.3,75
96,luminous-supreme-control_int100query,0.3,75
97,luminous-supreme-control_int100query,0.3,70
98,luminous-supreme-control_int100query,0.3,70
99,luminous-supreme-control_int100query,0.3,75
100,luminous-supreme-control_int100query,0.3,70
101,luminous-supreme-control_int100query,0.3,70
102,luminous-supreme-control_int100query,0.3,70
103,luminous-supreme-control_int100query,0.3,70
104,luminous-supreme-control_int100query,0.3,70
105,luminous-supreme-control_int100query,0.3,70
106,luminous-supreme-control_int100query,0.3,75
107,luminous-supreme-control_int100query,0.3,70
108,luminous-supreme-control_int100query,0.3,70
109,luminous-supreme-control_int100query,0.3,70
110,luminous-supreme-control_int100query,0.3,70
111,luminous-supreme-control_int100query,0.3,70
112,luminous-supreme-control_int100query,0.3,70
113,luminous-supreme-control_int100query,0.3,75
114,luminous-supreme-control_int100query,0.3,70
115,luminous-supreme-control_int100query,0.3,70
116,luminous-supreme-control_int100query,0.3,70
117,luminous-supreme-control_int100query,0.3,70
118,luminous-supreme-control_int100query,0.3,70
119,luminous-supreme-control_int100query,0.3,70
120,luminous-supreme-control_int100query,0.3,70
121,luminous-supreme-control_int100query,0.3,75
122,luminous-supreme-control_int100query,0.3,70
123,luminous-supreme-control_int100query,0.3,75
124,luminous-supreme-control_int100query,0.3,70
125,luminous-supreme-control_int100query,0.3,70
126,luminous-supreme-control_int100query,0.3,70
127,luminous-supreme-control_int100query,0.3,70
128,luminous-supreme-control_int100query,0.3,70
129,luminous-supreme-control_int100query,0.3,70
130,luminous-supreme-control_int100query,0.3,70
131,luminous-supreme-control_int100query,0.3,70
132,luminous-supreme-control_int100query,0.3,70
133,luminous-supreme-control_int100query,0.3,70
134,luminous-supreme-control_int100query,0.3,70
135,luminous-supreme-control_int100query,0.3,70
136,luminous-supreme-control_int100query,0.3,70
137,luminous-supreme-control_int100query,0.3,70
138,luminous-supreme-control_int100query,0.3,70
139,luminous-supreme-control_int100query,0.3,70
140,luminous-supreme-control_int100query,0.3,70
141,luminous-supreme-control_int100query,0.3,70
142,luminous-supreme-control_int100query,0.3,75
143,luminous-supreme-control_int100query,0.3,70
144,luminous-supreme-control_int100query,0.3,70
145,luminous-supreme-control_int100query,0.3,70
146,luminous-supreme-control_int100query,0.3,75
147,luminous-supreme-control_int100query,0.3,70
148,luminous-supreme-control_int100query,0.3,70
149,luminous-supreme-control_int100query,0.3,70
150,luminous-supreme-control_int100query,0.3,75
151,luminous-supreme-control_int100query,0.3,70
152,luminous-supreme-control_int100query,0.3,70
153,luminous-supreme-control_int100query,0.3,70
154,luminous-supreme-control_int100query,0.3,70
155,luminous-supreme-control_int100query,0.3,70
156,luminous-supreme-control_int100query,0.3,70
157,luminous-supreme-control_int100query,0.3,70
158,luminous-supreme-control_int100query,0.3,70
159,luminous-supreme-control_int100query,0.3,70
160,luminous-supreme-control_int100query,0.3,70
161,luminous-supreme-control_int100query,0.3,70
162,luminous-supreme-control_int100query,0.3,70
163,luminous-supreme-control_int100query,0.3,70
164,luminous-supreme-control_int100query,0.4,70
