idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.01,75
1,luminous-supreme-control_int100query,0.01,75
2,luminous-supreme-control_int100query,0.01,75
3,luminous-supreme-control_int100query,0.01,75
4,luminous-supreme-control_int100query,0.01,75
5,luminous-supreme-control_int100query,0.01,75
6,luminous-supreme-control_int100query,0.01,75
7,luminous-supreme-control_int100query,0.01,75
8,luminous-supreme-control_int100query,0.01,75
9,luminous-supreme-control_int100query,0.01,75
10,luminous-supreme-control_int100query,0.01,75
11,luminous-supreme-control_int100query,0.01,75
12,luminous-supreme-control_int100query,0.01,75
13,luminous-supreme-control_int100query,0.01,75
14,luminous-supreme-control_int100query,0.01,75
15,luminous-supreme-control_int100query,0.01,75
16,luminous-supreme-control_int100query,0.01,75
17,luminous-supreme-control_int100query,0.01,75
18,luminous-supreme-control_int100query,0.01,75
19,luminous-supreme-control_int100query,0.01,75
20,luminous-supreme-control_int100query,0.01,75
21,luminous-supreme-control_int100query,0.01,75
22,luminous-supreme-control_int100query,0.01,75
23,luminous-supreme-control_int100query,0.01,75
24,luminous-supreme-control_int100query,0.01,75
25,luminous-supreme-control_int100query,0.01,75
26,luminous-supreme-control_int100query,0.01,75
27,luminous-supreme-control_int100query,0.01,75
28,luminous-supreme-control_int100query,0.01,75
29,luminous-supreme-control_int100query,0.01,75
30,luminous-supreme-control_int100query,0.01,75
31,luminous-supreme-control_int100query,0.01,75
32,luminous-supreme-control_int100query,0.01,75
33,luminous-supreme-control_int100query,0.01,75
34,luminous-supreme-control_int100query,0.01,75
35,luminous-supreme-control_int100query,0.01,75
36,luminous-supreme-control_int100query,0.01,75
37,luminous-supreme-control_int100query,0.01,75
38,luminous-supreme-control_int100query,0.01,75
39,luminous-supreme-control_int100query,0.01,75
40,luminous-supreme-control_int100query,0.01,75
41,luminous-supreme-control_int100query,0.01,75
42,luminous-supreme-control_int100query,0.01,75
43,luminous-supreme-control_int100query,0.01,75
44,luminous-supreme-control_int100query,0.01,75
45,luminous-supreme-control_int100query,0.01,75
46,luminous-supreme-control_int100query,0.01,75
47,luminous-supreme-control_int100query,0.01,75
48,luminous-supreme-control_int100query,0.01,75
49,luminous-supreme-control_int100query,0.01,75
50,luminous-supreme-control_int100query,0.01,75
51,luminous-supreme-control_int100query,0.01,75
52,luminous-supreme-control_int100query,0.01,75
53,luminous-supreme-control_int100query,0.01,75
54,luminous-supreme-control_int100query,0.01,75
55,luminous-supreme-control_int100query,0.01,75
56,luminous-supreme-control_int100query,0.01,75
57,luminous-supreme-control_int100query,0.01,75
58,luminous-supreme-control_int100query,0.01,75
59,luminous-supreme-control_int100query,0.01,75
60,luminous-supreme-control_int100query,0.01,75
61,luminous-supreme-control_int100query,0.01,75
62,luminous-supreme-control_int100query,0.01,75
63,luminous-supreme-control_int100query,0.01,75
64,luminous-supreme-control_int100query,0.01,75
65,luminous-supreme-control_int100query,0.01,75
66,luminous-supreme-control_int100query,0.01,75
67,luminous-supreme-control_int100query,0.01,75
68,luminous-supreme-control_int100query,0.01,75
69,luminous-supreme-control_int100query,0.01,75
70,luminous-supreme-control_int100query,0.01,75
71,luminous-supreme-control_int100query,0.01,75
72,luminous-supreme-control_int100query,0.01,75
73,luminous-supreme-control_int100query,0.01,75
74,luminous-supreme-control_int100query,0.01,75
75,luminous-supreme-control_int100query,0.01,75
76,luminous-supreme-control_int100query,0.01,75
77,luminous-supreme-control_int100query,0.01,75
78,luminous-supreme-control_int100query,0.01,75
79,luminous-supreme-control_int100query,0.01,75
80,luminous-supreme-control_int100query,0.01,75
81,luminous-supreme-control_int100query,0.01,75
82,luminous-supreme-control_int100query,0.01,75
83,luminous-supreme-control_int100query,0.01,75
84,luminous-supreme-control_int100query,0.01,75
85,luminous-supreme-control_int100query,0.01,75
86,luminous-supreme-control_int100query,0.01,75
87,luminous-supreme-control_int100query,0.01,75
88,luminous-supreme-control_int100query,0.01,75
89,luminous-supreme-control_int100query,0.01,75
90,luminous-supreme-control_int100query,0.01,75
91,luminous-supreme-control_int100query,0.01,75
92,luminous-supreme-control_int100query,0.01,75
93,luminous-supreme-control_int100query,0.01,75
94,luminous-supreme-control_int100query,0.01,75
