idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,0.1,75
1,luminous-supreme-control_int100query,0.1,73
2,luminous-supreme-control_int100query,0.2,75
3,luminous-supreme-control_int100query,0.2,73
4,luminous-supreme-control_int100query,0.2,70
5,luminous-supreme-control_int100query,0.2,73
6,luminous-supreme-control_int100query,0.2,70
7,luminous-supreme-control_int100query,0.2,73
8,luminous-supreme-control_int100query,0.2,75
9,luminous-supreme-control_int100query,0.2,75
10,luminous-supreme-control_int100query,0.2,73
11,luminous-supreme-control_int100query,0.2,70
12,luminous-supreme-control_int100query,0.2,75
13,luminous-supreme-control_int100query,0.2,70
14,luminous-supreme-control_int100query,0.2,70
15,luminous-supreme-control_int100query,0.2,73
16,luminous-supreme-control_int100query,0.2,73
17,luminous-supreme-control_int100query,0.2,70
18,luminous-supreme-control_int100query,0.2,70
19,luminous-supreme-control_int100query,0.2,70
20,luminous-supreme-control_int100query,0.2,75
21,luminous-supreme-control_int100query,0.2,75
22,luminous-supreme-control_int100query,0.2,75
23,luminous-supreme-control_int100query,0.2,70
24,luminous-supreme-control_int100query,0.2,73
25,luminous-supreme-control_int100query,0.3,75
26,luminous-supreme-control_int100query,0.3,70
27,luminous-supreme-control_int100query,0.3,73
28,luminous-supreme-control_int100query,0.3,73
29,luminous-supreme-control_int100query,0.3,75
30,luminous-supreme-control_int100query,0.3,75
31,luminous-supreme-control_int100query,0.3,75
32,luminous-supreme-control_int100query,0.3,70
33,luminous-supreme-control_int100query,0.3,75
34,luminous-supreme-control_int100query,0.3,73
35,luminous-supreme-control_int100query,0.3,75
36,luminous-supreme-control_int100query,0.3,73
37,luminous-supreme-control_int100query,0.3,75
38,luminous-supreme-control_int100query,0.3,75
39,luminous-supreme-control_int100query,0.3,70
40,luminous-supreme-control_int100query,0.3,75
41,luminous-supreme-control_int100query,0.3,73
42,luminous-supreme-control_int100query,0.3,70
43,luminous-supreme-control_int100query,0.3,75
44,luminous-supreme-control_int100query,0.3,70
45,luminous-supreme-control_int100query,0.3,75
46,luminous-supreme-control_int100query,0.3,75
47,luminous-supreme-control_int100query,0.3,73
48,luminous-supreme-control_int100query,0.3,70
49,luminous-supreme-control_int100query,0.3,70
50,luminous-supreme-control_int100query,0.3,70
51,luminous-supreme-control_int100query,0.3,73
52,luminous-supreme-control_int100query,0.3,70
53,luminous-supreme-control_int100query,0.3,75
54,luminous-supreme-control_int100query,0.3,75
55,luminous-supreme-control_int100query,0.3,73
56,luminous-supreme-control_int100query,0.3,73
57,luminous-supreme-control_int100query,0.3,75
58,luminous-supreme-control_int100query,0.3,75
59,luminous-supreme-control_int100query,0.3,73
60,luminous-supreme-control_int100query,0.3,73
61,luminous-supreme-control_int100query,0.3,73
62,luminous-supreme-control_int100query,0.3,75
63,luminous-supreme-control_int100query,0.4,70
64,luminous-supreme-control_int100query,0.4,73
65,luminous-supreme-control_int100query,0.4,73
66,luminous-supreme-control_int100query,0.4,70
67,luminous-supreme-control_int100query,0.4,70
68,luminous-supreme-control_int100query,0.4,75
69,luminous-supreme-control_int100query,0.4,73
70,luminous-supreme-control_int100query,0.4,73
71,luminous-supreme-control_int100query,0.4,73
72,luminous-supreme-control_int100query,0.4,73
73,luminous-supreme-control_int100query,0.4,75
74,luminous-supreme-control_int100query,0.4,75
75,luminous-supreme-control_int100query,0.4,73
76,luminous-supreme-control_int100query,0.4,73
77,luminous-supreme-control_int100query,0.4,70
78,luminous-supreme-control_int100query,0.4,73
79,luminous-supreme-control_int100query,0.4,73
80,luminous-supreme-control_int100query,0.4,73
81,luminous-supreme-control_int100query,0.4,70
82,luminous-supreme-control_int100query,0.4,70
83,luminous-supreme-control_int100query,0.4,70
84,luminous-supreme-control_int100query,0.4,70
85,luminous-supreme-control_int100query,0.4,73
86,luminous-supreme-control_int100query,0.4,73
87,luminous-supreme-control_int100query,0.4,73
88,luminous-supreme-control_int100query,0.4,75
89,luminous-supreme-control_int100query,0.4,73
90,luminous-supreme-control_int100query,0.4,73
91,luminous-supreme-control_int100query,0.4,73
92,luminous-supreme-control_int100query,0.4,73
93,luminous-supreme-control_int100query,0.4,73
94,luminous-supreme-control_int100query,0.4,75
95,luminous-supreme-control_int100query,0.4,73
96,luminous-supreme-control_int100query,0.4,75
97,luminous-supreme-control_int100query,0.4,70
98,luminous-supreme-control_int100query,0.4,73
99,luminous-supreme-control_int100query,0.4,75
100,luminous-supreme-control_int100query,0.4,75
101,luminous-supreme-control_int100query,0.4,75
102,luminous-supreme-control_int100query,0.4,70
103,luminous-supreme-control_int100query,0.4,73
104,luminous-supreme-control_int100query,0.4,70
105,luminous-supreme-control_int100query,0.4,73
106,luminous-supreme-control_int100query,0.4,73
107,luminous-supreme-control_int100query,0.4,45
108,luminous-supreme-control_int100query,0.4,73
109,luminous-supreme-control_int100query,0.5,73
110,luminous-supreme-control_int100query,0.5,75
111,luminous-supreme-control_int100query,0.5,73
112,luminous-supreme-control_int100query,0.5,73
113,luminous-supreme-control_int100query,0.5,73
114,luminous-supreme-control_int100query,0.5,73
115,luminous-supreme-control_int100query,0.5,73
116,luminous-supreme-control_int100query,0.5,75
117,luminous-supreme-control_int100query,0.5,75
118,luminous-supreme-control_int100query,0.5,73
119,luminous-supreme-control_int100query,0.5,73
120,luminous-supreme-control_int100query,0.5,73
121,luminous-supreme-control_int100query,0.5,73
122,luminous-supreme-control_int100query,0.5,75
123,luminous-supreme-control_int100query,0.5,73
124,luminous-supreme-control_int100query,0.5,70
125,luminous-supreme-control_int100query,0.5,73
126,luminous-supreme-control_int100query,0.5,73
127,luminous-supreme-control_int100query,0.5,70
128,luminous-supreme-control_int100query,0.5,73
129,luminous-supreme-control_int100query,0.5,70
130,luminous-supreme-control_int100query,0.5,75
131,luminous-supreme-control_int100query,0.5,73
132,luminous-supreme-control_int100query,0.5,73
133,luminous-supreme-control_int100query,0.5,75
134,luminous-supreme-control_int100query,0.5,73
135,luminous-supreme-control_int100query,0.5,73
136,luminous-supreme-control_int100query,0.5,73
137,luminous-supreme-control_int100query,0.5,73
138,luminous-supreme-control_int100query,0.5,70
139,luminous-supreme-control_int100query,0.5,73
140,luminous-supreme-control_int100query,0.5,73
141,luminous-supreme-control_int100query,0.5,73
142,luminous-supreme-control_int100query,0.5,73
143,luminous-supreme-control_int100query,0.5,73
144,luminous-supreme-control_int100query,0.5,75
145,luminous-supreme-control_int100query,0.5,70
146,luminous-supreme-control_int100query,0.5,73
147,luminous-supreme-control_int100query,0.5,75
148,luminous-supreme-control_int100query,0.5,73
149,luminous-supreme-control_int100query,0.5,75
150,luminous-supreme-control_int100query,0.5,70
151,luminous-supreme-control_int100query,0.5,70
152,luminous-supreme-control_int100query,0.5,73
153,luminous-supreme-control_int100query,0.5,73
154,luminous-supreme-control_int100query,0.5,73
155,luminous-supreme-control_int100query,0.5,60
156,luminous-supreme-control_int100query,0.5,73
157,luminous-supreme-control_int100query,0.5,73
158,luminous-supreme-control_int100query,0.5,75
159,luminous-supreme-control_int100query,0.5,73
160,luminous-supreme-control_int100query,0.5,73
161,luminous-supreme-control_int100query,0.6,75
162,luminous-supreme-control_int100query,0.6,73
163,luminous-supreme-control_int100query,0.6,75
164,luminous-supreme-control_int100query,0.6,73
165,luminous-supreme-control_int100query,0.6,73
166,luminous-supreme-control_int100query,0.6,75
167,luminous-supreme-control_int100query,0.6,73
168,luminous-supreme-control_int100query,0.6,73
169,luminous-supreme-control_int100query,0.6,75
170,luminous-supreme-control_int100query,0.6,73
171,luminous-supreme-control_int100query,0.6,70
172,luminous-supreme-control_int100query,0.6,73
173,luminous-supreme-control_int100query,0.6,73
174,luminous-supreme-control_int100query,0.6,75
175,luminous-supreme-control_int100query,0.6,75
176,luminous-supreme-control_int100query,0.6,75
177,luminous-supreme-control_int100query,0.6,73
178,luminous-supreme-control_int100query,0.6,70
179,luminous-supreme-control_int100query,0.6,73
180,luminous-supreme-control_int100query,0.6,73
181,luminous-supreme-control_int100query,0.6,70
182,luminous-supreme-control_int100query,0.6,73
183,luminous-supreme-control_int100query,0.6,70
184,luminous-supreme-control_int100query,0.6,73
185,luminous-supreme-control_int100query,0.6,73
186,luminous-supreme-control_int100query,0.6,75
187,luminous-supreme-control_int100query,0.6,73
188,luminous-supreme-control_int100query,0.6,45
189,luminous-supreme-control_int100query,0.6,70
190,luminous-supreme-control_int100query,0.6,73
191,luminous-supreme-control_int100query,0.6,73
192,luminous-supreme-control_int100query,0.6,75
193,luminous-supreme-control_int100query,0.6,73
194,luminous-supreme-control_int100query,0.6,75
195,luminous-supreme-control_int100query,0.6,73
196,luminous-supreme-control_int100query,0.6,73
197,luminous-supreme-control_int100query,0.6,73
198,luminous-supreme-control_int100query,0.6,73
199,luminous-supreme-control_int100query,0.6,73
200,luminous-supreme-control_int100query,0.6,70
201,luminous-supreme-control_int100query,0.6,75
202,luminous-supreme-control_int100query,0.6,73
203,luminous-supreme-control_int100query,0.6,73
204,luminous-supreme-control_int100query,0.6,73
205,luminous-supreme-control_int100query,0.6,73
206,luminous-supreme-control_int100query,0.6,75
207,luminous-supreme-control_int100query,0.6,73
208,luminous-supreme-control_int100query,0.6,75
209,luminous-supreme-control_int100query,0.6,75
210,luminous-supreme-control_int100query,0.6,75
211,luminous-supreme-control_int100query,0.6,73
212,luminous-supreme-control_int100query,0.6,73
213,luminous-supreme-control_int100query,0.6,73
214,luminous-supreme-control_int100query,0.6,73
215,luminous-supreme-control_int100query,0.6,73
216,luminous-supreme-control_int100query,0.6,73
217,luminous-supreme-control_int100query,0.6,75
218,luminous-supreme-control_int100query,0.6,75
219,luminous-supreme-control_int100query,0.6,45
220,luminous-supreme-control_int100query,0.6,73
221,luminous-supreme-control_int100query,0.6,75
222,luminous-supreme-control_int100query,0.6,73
223,luminous-supreme-control_int100query,0.6,73
224,luminous-supreme-control_int100query,0.6,73
225,luminous-supreme-control_int100query,0.6,73
226,luminous-supreme-control_int100query,0.6,75
227,luminous-supreme-control_int100query,0.6,73
228,luminous-supreme-control_int100query,0.6,75
229,luminous-supreme-control_int100query,0.6,70
230,luminous-supreme-control_int100query,0.6,73
231,luminous-supreme-control_int100query,0.7,75
232,luminous-supreme-control_int100query,0.7,73
233,luminous-supreme-control_int100query,0.7,75
234,luminous-supreme-control_int100query,0.7,73
235,luminous-supreme-control_int100query,0.7,73
236,luminous-supreme-control_int100query,0.7,75
237,luminous-supreme-control_int100query,0.7,73
238,luminous-supreme-control_int100query,0.7,75
239,luminous-supreme-control_int100query,0.7,73
240,luminous-supreme-control_int100query,0.7,75
241,luminous-supreme-control_int100query,0.7,75
242,luminous-supreme-control_int100query,0.7,75
243,luminous-supreme-control_int100query,0.7,75
244,luminous-supreme-control_int100query,0.7,50
245,luminous-supreme-control_int100query,0.7,73
246,luminous-supreme-control_int100query,0.7,70
247,luminous-supreme-control_int100query,0.7,75
248,luminous-supreme-control_int100query,0.7,73
249,luminous-supreme-control_int100query,0.7,75
250,luminous-supreme-control_int100query,0.7,73
251,luminous-supreme-control_int100query,0.7,75
252,luminous-supreme-control_int100query,0.7,70
253,luminous-supreme-control_int100query,0.7,45
254,luminous-supreme-control_int100query,0.7,70
255,luminous-supreme-control_int100query,0.7,70
256,luminous-supreme-control_int100query,0.7,75
257,luminous-supreme-control_int100query,0.7,75
258,luminous-supreme-control_int100query,0.7,73
259,luminous-supreme-control_int100query,0.7,75
260,luminous-supreme-control_int100query,0.7,45
261,luminous-supreme-control_int100query,0.7,73
262,luminous-supreme-control_int100query,0.7,73
263,luminous-supreme-control_int100query,0.7,75
264,luminous-supreme-control_int100query,0.7,73
265,luminous-supreme-control_int100query,0.7,73
266,luminous-supreme-control_int100query,0.7,70
267,luminous-supreme-control_int100query,0.7,75
268,luminous-supreme-control_int100query,0.7,73
269,luminous-supreme-control_int100query,0.7,45
270,luminous-supreme-control_int100query,0.7,70
271,luminous-supreme-control_int100query,0.7,73
272,luminous-supreme-control_int100query,0.7,73
273,luminous-supreme-control_int100query,0.7,75
274,luminous-supreme-control_int100query,0.7,75
275,luminous-supreme-control_int100query,0.7,75
276,luminous-supreme-control_int100query,0.7,70
277,luminous-supreme-control_int100query,0.7,73
278,luminous-supreme-control_int100query,0.7,75
279,luminous-supreme-control_int100query,0.7,73
280,luminous-supreme-control_int100query,0.7,73
281,luminous-supreme-control_int100query,0.7,75
282,luminous-supreme-control_int100query,0.7,75
283,luminous-supreme-control_int100query,0.7,75
284,luminous-supreme-control_int100query,0.7,75
285,luminous-supreme-control_int100query,0.7,73
286,luminous-supreme-control_int100query,0.7,75
287,luminous-supreme-control_int100query,0.7,60
288,luminous-supreme-control_int100query,0.7,45
289,luminous-supreme-control_int100query,0.7,70
290,luminous-supreme-control_int100query,0.7,70
291,luminous-supreme-control_int100query,0.7,75
292,luminous-supreme-control_int100query,0.7,73
293,luminous-supreme-control_int100query,0.7,73
294,luminous-supreme-control_int100query,0.7,75
295,luminous-supreme-control_int100query,0.7,73
296,luminous-supreme-control_int100query,0.7,70
297,luminous-supreme-control_int100query,0.7,70
298,luminous-supreme-control_int100query,0.7,75
299,luminous-supreme-control_int100query,0.7,75
300,luminous-supreme-control_int100query,0.7,73
301,luminous-supreme-control_int100query,0.7,73
302,luminous-supreme-control_int100query,0.7,75
303,luminous-supreme-control_int100query,0.8,73
304,luminous-supreme-control_int100query,0.8,73
305,luminous-supreme-control_int100query,0.8,75
306,luminous-supreme-control_int100query,0.8,75
307,luminous-supreme-control_int100query,0.8,75
308,luminous-supreme-control_int100query,0.8,73
309,luminous-supreme-control_int100query,0.8,73
310,luminous-supreme-control_int100query,0.8,75
311,luminous-supreme-control_int100query,0.8,73
312,luminous-supreme-control_int100query,0.8,60
313,luminous-supreme-control_int100query,0.8,75
314,luminous-supreme-control_int100query,0.8,73
315,luminous-supreme-control_int100query,0.8,73
316,luminous-supreme-control_int100query,0.8,73
317,luminous-supreme-control_int100query,0.8,75
318,luminous-supreme-control_int100query,0.8,70
319,luminous-supreme-control_int100query,0.8,75
320,luminous-supreme-control_int100query,0.8,70
321,luminous-supreme-control_int100query,0.8,73
322,luminous-supreme-control_int100query,0.8,73
323,luminous-supreme-control_int100query,0.8,73
324,luminous-supreme-control_int100query,0.8,75
325,luminous-supreme-control_int100query,0.8,75
326,luminous-supreme-control_int100query,0.8,70
327,luminous-supreme-control_int100query,0.8,73
328,luminous-supreme-control_int100query,0.8,45
329,luminous-supreme-control_int100query,0.8,70
330,luminous-supreme-control_int100query,0.8,73
331,luminous-supreme-control_int100query,0.8,73
332,luminous-supreme-control_int100query,0.8,73
333,luminous-supreme-control_int100query,0.8,60
334,luminous-supreme-control_int100query,0.8,45
335,luminous-supreme-control_int100query,0.8,73
336,luminous-supreme-control_int100query,0.8,75
337,luminous-supreme-control_int100query,0.8,70
338,luminous-supreme-control_int100query,0.8,75
339,luminous-supreme-control_int100query,0.8,75
340,luminous-supreme-control_int100query,0.8,73
341,luminous-supreme-control_int100query,0.8,70
342,luminous-supreme-control_int100query,0.8,73
343,luminous-supreme-control_int100query,0.8,73
344,luminous-supreme-control_int100query,0.8,73
345,luminous-supreme-control_int100query,0.8,73
346,luminous-supreme-control_int100query,0.8,75
347,luminous-supreme-control_int100query,0.8,45
348,luminous-supreme-control_int100query,0.8,73
349,luminous-supreme-control_int100query,0.8,73
350,luminous-supreme-control_int100query,0.8,75
351,luminous-supreme-control_int100query,0.8,75
352,luminous-supreme-control_int100query,0.8,75
353,luminous-supreme-control_int100query,0.8,73
354,luminous-supreme-control_int100query,0.8,75
355,luminous-supreme-control_int100query,0.8,60
356,luminous-supreme-control_int100query,0.8,75
357,luminous-supreme-control_int100query,0.8,75
358,luminous-supreme-control_int100query,0.8,73
359,luminous-supreme-control_int100query,0.8,70
360,luminous-supreme-control_int100query,0.8,45
361,luminous-supreme-control_int100query,0.8,73
362,luminous-supreme-control_int100query,0.9,73
363,luminous-supreme-control_int100query,0.9,75
364,luminous-supreme-control_int100query,0.9,75
365,luminous-supreme-control_int100query,0.9,73
366,luminous-supreme-control_int100query,0.9,75
367,luminous-supreme-control_int100query,0.9,73
368,luminous-supreme-control_int100query,0.9,73
369,luminous-supreme-control_int100query,0.9,70
370,luminous-supreme-control_int100query,0.9,73
371,luminous-supreme-control_int100query,0.9,73
372,luminous-supreme-control_int100query,0.9,75
373,luminous-supreme-control_int100query,0.9,75
374,luminous-supreme-control_int100query,0.9,73
375,luminous-supreme-control_int100query,0.9,73
376,luminous-supreme-control_int100query,0.9,75
377,luminous-supreme-control_int100query,0.9,73
378,luminous-supreme-control_int100query,0.9,70
379,luminous-supreme-control_int100query,0.9,73
380,luminous-supreme-control_int100query,0.9,73
381,luminous-supreme-control_int100query,0.9,75
382,luminous-supreme-control_int100query,0.9,70
383,luminous-supreme-control_int100query,0.9,73
384,luminous-supreme-control_int100query,0.9,45
385,luminous-supreme-control_int100query,0.9,73
