idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,1,70
1,luminous-supreme-control_int100query,1,45
2,luminous-supreme-control_int100query,1,70
3,luminous-supreme-control_int100query,1,45
4,luminous-supreme-control_int100query,1,45
5,luminous-supreme-control_int100query,1,70
6,luminous-supreme-control_int100query,1,70
7,luminous-supreme-control_int100query,1,45
8,luminous-supreme-control_int100query,1,45
9,luminous-supreme-control_int100query,1,70
10,luminous-supreme-control_int100query,1,70
11,luminous-supreme-control_int100query,1,45
12,luminous-supreme-control_int100query,1,45
13,luminous-supreme-control_int100query,1,70
14,luminous-supreme-control_int100query,1,70
15,luminous-supreme-control_int100query,1,45
16,luminous-supreme-control_int100query,1,70
17,luminous-supreme-control_int100query,1,70
18,luminous-supreme-control_int100query,1,45
19,luminous-supreme-control_int100query,1,70
20,luminous-supreme-control_int100query,1,45
21,luminous-supreme-control_int100query,1,70
22,luminous-supreme-control_int100query,1,70
23,luminous-supreme-control_int100query,1,70
24,luminous-supreme-control_int100query,1,45
25,luminous-supreme-control_int100query,1,70
26,luminous-supreme-control_int100query,1,70
27,luminous-supreme-control_int100query,1,45
28,luminous-supreme-control_int100query,1,70
29,luminous-supreme-control_int100query,1,45
30,luminous-supreme-control_int100query,1,45
31,luminous-supreme-control_int100query,1,45
32,luminous-supreme-control_int100query,1,70
33,luminous-supreme-control_int100query,1,70
34,luminous-supreme-control_int100query,1,70
35,luminous-supreme-control_int100query,1,45
36,luminous-supreme-control_int100query,1,70
37,luminous-supreme-control_int100query,1,70
38,luminous-supreme-control_int100query,1,45
39,luminous-supreme-control_int100query,1,70
40,luminous-supreme-control_int100query,1,45
41,luminous-supreme-control_int100query,1,70
42,luminous-supreme-control_int100query,1,45
43,luminous-supreme-control_int100query,1,45
44,luminous-supreme-control_int100query,1,45
45,luminous-supreme-control_int100query,1,45
46,luminous-supreme-control_int100query,1,45
47,luminous-supreme-control_int100query,1,70
48,luminous-supreme-control_int100query,1,70
49,luminous-supreme-control_int100query,1,45
50,luminous-supreme-control_int100query,1,70
51,luminous-supreme-control_int100query,1,45
52,luminous-supreme-control_int100query,5,45
53,luminous-supreme-control_int100query,5,45
54,luminous-supreme-control_int100query,5,45
55,luminous-supreme-control_int100query,5,45
56,luminous-supreme-control_int100query,5,45
57,luminous-supreme-control_int100query,5,73
58,luminous-supreme-control_int100query,5,45
59,luminous-supreme-control_int100query,5,73
60,luminous-supreme-control_int100query,5,45
61,luminous-supreme-control_int100query,5,45
62,luminous-supreme-control_int100query,5,70
63,luminous-supreme-control_int100query,5,73
64,luminous-supreme-control_int100query,5,45
65,luminous-supreme-control_int100query,5,60
66,luminous-supreme-control_int100query,5,60
67,luminous-supreme-control_int100query,5,70
68,luminous-supreme-control_int100query,5,70
69,luminous-supreme-control_int100query,5,45
70,luminous-supreme-control_int100query,5,73
71,luminous-supreme-control_int100query,5,45
72,luminous-supreme-control_int100query,5,45
73,luminous-supreme-control_int100query,5,60
74,luminous-supreme-control_int100query,5,60
75,luminous-supreme-control_int100query,5,45
76,luminous-supreme-control_int100query,5,60
77,luminous-supreme-control_int100query,5,45
78,luminous-supreme-control_int100query,5,60
79,luminous-supreme-control_int100query,5,45
80,luminous-supreme-control_int100query,5,70
81,luminous-supreme-control_int100query,5,60
82,luminous-supreme-control_int100query,5,70
83,luminous-supreme-control_int100query,5,70
84,luminous-supreme-control_int100query,5,73
85,luminous-supreme-control_int100query,5,73
86,luminous-supreme-control_int100query,5,73
87,luminous-supreme-control_int100query,5,73
88,luminous-supreme-control_int100query,5,73
89,luminous-supreme-control_int100query,5,60
90,luminous-supreme-control_int100query,5,60
91,luminous-supreme-control_int100query,5,45
92,luminous-supreme-control_int100query,5,45
93,luminous-supreme-control_int100query,5,60
94,luminous-supreme-control_int100query,5,70
95,luminous-supreme-control_int100query,5,45
96,luminous-supreme-control_int100query,5,60
97,luminous-supreme-control_int100query,5,60
98,luminous-supreme-control_int100query,5,45
99,luminous-supreme-control_int100query,5,45
100,luminous-supreme-control_int100query,5,45
101,luminous-supreme-control_int100query,5,60
102,luminous-supreme-control_int100query,5,45
103,luminous-supreme-control_int100query,5,45
104,luminous-supreme-control_int100query,5,60
105,luminous-supreme-control_int100query,5,45
106,luminous-supreme-control_int100query,5,73
107,luminous-supreme-control_int100query,5,45
108,luminous-supreme-control_int100query,5,73
109,luminous-supreme-control_int100query,5,60
110,luminous-supreme-control_int100query,5,60
111,luminous-supreme-control_int100query,5,45
112,luminous-supreme-control_int100query,5,45
113,luminous-supreme-control_int100query,5,45
114,luminous-supreme-control_int100query,5,70
115,luminous-supreme-control_int100query,5,45
116,luminous-supreme-control_int100query,5,60
117,luminous-supreme-control_int100query,5,70
118,luminous-supreme-control_int100query,5,45
119,luminous-supreme-control_int100query,5,60
120,luminous-supreme-control_int100query,5,60
121,luminous-supreme-control_int100query,5,70
122,luminous-supreme-control_int100query,5,73
123,luminous-supreme-control_int100query,5,45
124,luminous-supreme-control_int100query,10,73
125,luminous-supreme-control_int100query,10,50
126,luminous-supreme-control_int100query,10,45
127,luminous-supreme-control_int100query,10,73
128,luminous-supreme-control_int100query,10,60
129,luminous-supreme-control_int100query,10,45
130,luminous-supreme-control_int100query,10,50
131,luminous-supreme-control_int100query,10,25
132,luminous-supreme-control_int100query,10,70
133,luminous-supreme-control_int100query,10,45
134,luminous-supreme-control_int100query,10,45
135,luminous-supreme-control_int100query,10,60
136,luminous-supreme-control_int100query,10,73
137,luminous-supreme-control_int100query,10,73
138,luminous-supreme-control_int100query,10,70
139,luminous-supreme-control_int100query,10,60
140,luminous-supreme-control_int100query,10,70
141,luminous-supreme-control_int100query,10,60
142,luminous-supreme-control_int100query,10,60
143,luminous-supreme-control_int100query,10,45
144,luminous-supreme-control_int100query,10,50
145,luminous-supreme-control_int100query,10,60
146,luminous-supreme-control_int100query,10,60
147,luminous-supreme-control_int100query,10,60
148,luminous-supreme-control_int100query,10,75
149,luminous-supreme-control_int100query,10,70
150,luminous-supreme-control_int100query,10,50
151,luminous-supreme-control_int100query,10,45
152,luminous-supreme-control_int100query,10,70
153,luminous-supreme-control_int100query,10,73
154,luminous-supreme-control_int100query,10,70
155,luminous-supreme-control_int100query,10,70
156,luminous-supreme-control_int100query,10,70
157,luminous-supreme-control_int100query,10,70
158,luminous-supreme-control_int100query,10,50
159,luminous-supreme-control_int100query,10,60
160,luminous-supreme-control_int100query,10,60
161,luminous-supreme-control_int100query,10,45
162,luminous-supreme-control_int100query,10,25
163,luminous-supreme-control_int100query,10,45
164,luminous-supreme-control_int100query,10,75
165,luminous-supreme-control_int100query,10,50
166,luminous-supreme-control_int100query,10,60
167,luminous-supreme-control_int100query,10,73
168,luminous-supreme-control_int100query,10,45
169,luminous-supreme-control_int100query,10,70
170,luminous-supreme-control_int100query,10,70
171,luminous-supreme-control_int100query,10,45
172,luminous-supreme-control_int100query,10,60
173,luminous-supreme-control_int100query,10,70
174,luminous-supreme-control_int100query,10,45
175,luminous-supreme-control_int100query,10,73
176,luminous-supreme-control_int100query,10,60
177,luminous-supreme-control_int100query,10,45
178,luminous-supreme-control_int100query,10,70
179,luminous-supreme-control_int100query,10,73
180,luminous-supreme-control_int100query,10,60
181,luminous-supreme-control_int100query,10,60
182,luminous-supreme-control_int100query,10,70
183,luminous-supreme-control_int100query,10,75
184,luminous-supreme-control_int100query,10,45
185,luminous-supreme-control_int100query,10,60
186,luminous-supreme-control_int100query,10,70
187,luminous-supreme-control_int100query,10,25
188,luminous-supreme-control_int100query,10,45
189,luminous-supreme-control_int100query,10,50
190,luminous-supreme-control_int100query,10,60
191,luminous-supreme-control_int100query,10,45
192,luminous-supreme-control_int100query,10,45
193,luminous-supreme-control_int100query,10,73
194,luminous-supreme-control_int100query,10,70
195,luminous-supreme-control_int100query,10,45
196,luminous-supreme-control_int100query,10,45
197,luminous-supreme-control_int100query,10,60
198,luminous-supreme-control_int100query,10,73
199,luminous-supreme-control_int100query,10,73
200,luminous-supreme-control_int100query,10,73
201,luminous-supreme-control_int100query,15,70
202,luminous-supreme-control_int100query,15,75
203,luminous-supreme-control_int100query,15,73
204,luminous-supreme-control_int100query,15,60
205,luminous-supreme-control_int100query,15,60
206,luminous-supreme-control_int100query,15,75
207,luminous-supreme-control_int100query,15,73
208,luminous-supreme-control_int100query,15,55
209,luminous-supreme-control_int100query,15,25
210,luminous-supreme-control_int100query,15,73
211,luminous-supreme-control_int100query,15,60
212,luminous-supreme-control_int100query,15,73
213,luminous-supreme-control_int100query,15,25
214,luminous-supreme-control_int100query,15,73
215,luminous-supreme-control_int100query,15,73
216,luminous-supreme-control_int100query,15,70
217,luminous-supreme-control_int100query,15,70
218,luminous-supreme-control_int100query,15,45
219,luminous-supreme-control_int100query,15,70
220,luminous-supreme-control_int100query,15,50
221,luminous-supreme-control_int100query,15,35
222,luminous-supreme-control_int100query,15,73
223,luminous-supreme-control_int100query,15,75
224,luminous-supreme-control_int100query,15,45
225,luminous-supreme-control_int100query,15,45
226,luminous-supreme-control_int100query,15,45
227,luminous-supreme-control_int100query,15,70
228,luminous-supreme-control_int100query,15,70
229,luminous-supreme-control_int100query,15,45
230,luminous-supreme-control_int100query,15,45
231,luminous-supreme-control_int100query,15,45
232,luminous-supreme-control_int100query,15,73
233,luminous-supreme-control_int100query,15,73
234,luminous-supreme-control_int100query,15,60
235,luminous-supreme-control_int100query,15,75
236,luminous-supreme-control_int100query,15,73
237,luminous-supreme-control_int100query,15,45
238,luminous-supreme-control_int100query,15,45
239,luminous-supreme-control_int100query,15,60
240,luminous-supreme-control_int100query,15,25
241,luminous-supreme-control_int100query,15,73
242,luminous-supreme-control_int100query,15,70
243,luminous-supreme-control_int100query,15,73
244,luminous-supreme-control_int100query,15,60
245,luminous-supreme-control_int100query,15,60
