idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,5,70
1,luminous-supreme-control_int100query,5,75
2,luminous-supreme-control_int100query,5,45
3,luminous-supreme-control_int100query,5,45
4,luminous-supreme-control_int100query,5,70
5,luminous-supreme-control_int100query,5,75
6,luminous-supreme-control_int100query,5,60
7,luminous-supreme-control_int100query,5,45
8,luminous-supreme-control_int100query,5,45
9,luminous-supreme-control_int100query,5,70
10,luminous-supreme-control_int100query,5,60
11,luminous-supreme-control_int100query,5,60
12,luminous-supreme-control_int100query,5,70
13,luminous-supreme-control_int100query,5,45
14,luminous-supreme-control_int100query,5,75
15,luminous-supreme-control_int100query,5,75
16,luminous-supreme-control_int100query,5,60
17,luminous-supreme-control_int100query,5,75
18,luminous-supreme-control_int100query,5,60
19,luminous-supreme-control_int100query,5,75
20,luminous-supreme-control_int100query,5,75
21,luminous-supreme-control_int100query,5,45
22,luminous-supreme-control_int100query,5,70
23,luminous-supreme-control_int100query,5,70
24,luminous-supreme-control_int100query,5,45
25,luminous-supreme-control_int100query,5,75
26,luminous-supreme-control_int100query,5,45
27,luminous-supreme-control_int100query,5,75
28,luminous-supreme-control_int100query,5,45
29,luminous-supreme-control_int100query,5,70
30,luminous-supreme-control_int100query,5,70
31,luminous-supreme-control_int100query,5,70
32,luminous-supreme-control_int100query,5,45
33,luminous-supreme-control_int100query,5,75
34,luminous-supreme-control_int100query,5,45
35,luminous-supreme-control_int100query,5,70
36,luminous-supreme-control_int100query,5,60
37,luminous-supreme-control_int100query,5,45
38,luminous-supreme-control_int100query,5,60
39,luminous-supreme-control_int100query,5,45
40,luminous-supreme-control_int100query,5,75
41,luminous-supreme-control_int100query,5,45
42,luminous-supreme-control_int100query,5,45
43,luminous-supreme-control_int100query,5,45
44,luminous-supreme-control_int100query,5,45
45,luminous-supreme-control_int100query,5,45
46,luminous-supreme-control_int100query,5,45
47,luminous-supreme-control_int100query,5,70
48,luminous-supreme-control_int100query,5,45
49,luminous-supreme-control_int100query,5,70
50,luminous-supreme-control_int100query,5,70
51,luminous-supreme-control_int100query,5,45
52,luminous-supreme-control_int100query,5,45
53,luminous-supreme-control_int100query,5,70
54,luminous-supreme-control_int100query,5,45
55,luminous-supreme-control_int100query,5,60
56,luminous-supreme-control_int100query,5,75
57,luminous-supreme-control_int100query,5,60
58,luminous-supreme-control_int100query,5,70
59,luminous-supreme-control_int100query,5,70
60,luminous-supreme-control_int100query,5,70
61,luminous-supreme-control_int100query,5,60
62,luminous-supreme-control_int100query,5,45
63,luminous-supreme-control_int100query,5,75
64,luminous-supreme-control_int100query,5,45
65,luminous-supreme-control_int100query,5,75
66,luminous-supreme-control_int100query,10,75
67,luminous-supreme-control_int100query,10,70
68,luminous-supreme-control_int100query,10,45
69,luminous-supreme-control_int100query,10,60
70,luminous-supreme-control_int100query,10,45
71,luminous-supreme-control_int100query,10,45
72,luminous-supreme-control_int100query,10,50
73,luminous-supreme-control_int100query,10,70
74,luminous-supreme-control_int100query,10,73
75,luminous-supreme-control_int100query,10,45
76,luminous-supreme-control_int100query,10,70
77,luminous-supreme-control_int100query,10,70
78,luminous-supreme-control_int100query,10,70
79,luminous-supreme-control_int100query,10,70
80,luminous-supreme-control_int100query,10,75
81,luminous-supreme-control_int100query,10,45
82,luminous-supreme-control_int100query,10,75
83,luminous-supreme-control_int100query,10,60
84,luminous-supreme-control_int100query,10,45
85,luminous-supreme-control_int100query,10,60
86,luminous-supreme-control_int100query,10,75
87,luminous-supreme-control_int100query,10,73
88,luminous-supreme-control_int100query,10,60
89,luminous-supreme-control_int100query,10,70
90,luminous-supreme-control_int100query,10,70
91,luminous-supreme-control_int100query,10,60
92,luminous-supreme-control_int100query,10,60
93,luminous-supreme-control_int100query,10,75
94,luminous-supreme-control_int100query,10,45
95,luminous-supreme-control_int100query,10,70
96,luminous-supreme-control_int100query,10,45
97,luminous-supreme-control_int100query,10,75
98,luminous-supreme-control_int100query,10,45
99,luminous-supreme-control_int100query,10,45
100,luminous-supreme-control_int100query,10,45
101,luminous-supreme-control_int100query,10,70
102,luminous-supreme-control_int100query,10,75
103,luminous-supreme-control_int100query,10,75
104,luminous-supreme-control_int100query,10,60
105,luminous-supreme-control_int100query,10,45
106,luminous-supreme-control_int100query,10,70
107,luminous-supreme-control_int100query,10,60
108,luminous-supreme-control_int100query,10,70
109,luminous-supreme-control_int100query,10,70
110,luminous-supreme-control_int100query,10,50
111,luminous-supreme-control_int100query,10,70
112,luminous-supreme-control_int100query,10,73
113,luminous-supreme-control_int100query,10,60
114,luminous-supreme-control_int100query,10,70
115,luminous-supreme-control_int100query,10,60
116,luminous-supreme-control_int100query,10,70
117,luminous-supreme-control_int100query,10,70
118,luminous-supreme-control_int100query,10,45
119,luminous-supreme-control_int100query,10,60
120,luminous-supreme-control_int100query,10,45
121,luminous-supreme-control_int100query,10,45
122,luminous-supreme-control_int100query,10,45
123,luminous-supreme-control_int100query,10,45
124,luminous-supreme-control_int100query,10,70
125,luminous-supreme-control_int100query,10,45
126,luminous-supreme-control_int100query,10,45
127,luminous-supreme-control_int100query,15,45
128,luminous-supreme-control_int100query,15,45
129,luminous-supreme-control_int100query,15,73
130,luminous-supreme-control_int100query,15,75
131,luminous-supreme-control_int100query,15,75
132,luminous-supreme-control_int100query,15,45
133,luminous-supreme-control_int100query,15,73
134,luminous-supreme-control_int100query,15,75
135,luminous-supreme-control_int100query,15,60
136,luminous-supreme-control_int100query,15,45
137,luminous-supreme-control_int100query,15,70
138,luminous-supreme-control_int100query,15,60
139,luminous-supreme-control_int100query,15,45
140,luminous-supreme-control_int100query,15,45
141,luminous-supreme-control_int100query,15,45
142,luminous-supreme-control_int100query,15,75
143,luminous-supreme-control_int100query,15,30
144,luminous-supreme-control_int100query,15,45
145,luminous-supreme-control_int100query,15,72
146,luminous-supreme-control_int100query,15,45
147,luminous-supreme-control_int100query,15,45
148,luminous-supreme-control_int100query,15,75
149,luminous-supreme-control_int100query,15,60
150,luminous-supreme-control_int100query,15,70
151,luminous-supreme-control_int100query,15,45
152,luminous-supreme-control_int100query,15,45
153,luminous-supreme-control_int100query,15,60
154,luminous-supreme-control_int100query,15,75
155,luminous-supreme-control_int100query,15,70
156,luminous-supreme-control_int100query,15,70
157,luminous-supreme-control_int100query,15,45
158,luminous-supreme-control_int100query,15,45
159,luminous-supreme-control_int100query,15,45
160,luminous-supreme-control_int100query,15,45
161,luminous-supreme-control_int100query,15,70
162,luminous-supreme-control_int100query,15,70
163,luminous-supreme-control_int100query,15,75
164,luminous-supreme-control_int100query,15,75
165,luminous-supreme-control_int100query,15,60
166,luminous-supreme-control_int100query,15,45
167,luminous-supreme-control_int100query,15,73
168,luminous-supreme-control_int100query,15,45
169,luminous-supreme-control_int100query,15,70
170,luminous-supreme-control_int100query,15,73
171,luminous-supreme-control_int100query,15,45
172,luminous-supreme-control_int100query,15,75
173,luminous-supreme-control_int100query,15,45
174,luminous-supreme-control_int100query,15,75
175,luminous-supreme-control_int100query,15,60
176,luminous-supreme-control_int100query,15,45
177,luminous-supreme-control_int100query,15,75
178,luminous-supreme-control_int100query,15,70
179,luminous-supreme-control_int100query,15,70
180,luminous-supreme-control_int100query,15,80
181,luminous-supreme-control_int100query,20,45
182,luminous-supreme-control_int100query,20,60
183,luminous-supreme-control_int100query,20,45
184,luminous-supreme-control_int100query,20,75
185,luminous-supreme-control_int100query,20,45
186,luminous-supreme-control_int100query,20,75
187,luminous-supreme-control_int100query,20,45
