idx,model_name,parameter_value,predicted_value
0,luminous-supreme-control_int100query,5,75
1,luminous-supreme-control_int100query,5,70
2,luminous-supreme-control_int100query,5,73
3,luminous-supreme-control_int100query,5,73
4,luminous-supreme-control_int100query,5,60
5,luminous-supreme-control_int100query,5,75
6,luminous-supreme-control_int100query,5,73
7,luminous-supreme-control_int100query,5,73
8,luminous-supreme-control_int100query,5,75
9,luminous-supreme-control_int100query,5,75
10,luminous-supreme-control_int100query,5,73
11,luminous-supreme-control_int100query,5,73
12,luminous-supreme-control_int100query,5,75
13,luminous-supreme-control_int100query,5,73
14,luminous-supreme-control_int100query,5,70
15,luminous-supreme-control_int100query,5,70
16,luminous-supreme-control_int100query,5,73
17,luminous-supreme-control_int100query,5,70
18,luminous-supreme-control_int100query,5,70
19,luminous-supreme-control_int100query,5,70
20,luminous-supreme-control_int100query,5,73
21,luminous-supreme-control_int100query,5,75
22,luminous-supreme-control_int100query,5,73
23,luminous-supreme-control_int100query,5,45
24,luminous-supreme-control_int100query,5,60
25,luminous-supreme-control_int100query,5,73
26,luminous-supreme-control_int100query,5,75
27,luminous-supreme-control_int100query,5,75
28,luminous-supreme-control_int100query,5,75
29,luminous-supreme-control_int100query,5,73
30,luminous-supreme-control_int100query,5,73
31,luminous-supreme-control_int100query,5,73
32,luminous-supreme-control_int100query,5,75
33,luminous-supreme-control_int100query,5,73
34,luminous-supreme-control_int100query,5,73
35,luminous-supreme-control_int100query,5,73
36,luminous-supreme-control_int100query,5,75
37,luminous-supreme-control_int100query,5,45
38,luminous-supreme-control_int100query,5,60
39,luminous-supreme-control_int100query,5,73
40,luminous-supreme-control_int100query,5,75
41,luminous-supreme-control_int100query,5,75
42,luminous-supreme-control_int100query,5,73
43,luminous-supreme-control_int100query,5,45
44,luminous-supreme-control_int100query,5,75
45,luminous-supreme-control_int100query,5,75
46,luminous-supreme-control_int100query,5,75
47,luminous-supreme-control_int100query,5,73
48,luminous-supreme-control_int100query,5,73
49,luminous-supreme-control_int100query,5,60
50,luminous-supreme-control_int100query,5,60
51,luminous-supreme-control_int100query,5,75
52,luminous-supreme-control_int100query,5,75
53,luminous-supreme-control_int100query,5,75
54,luminous-supreme-control_int100query,5,75
55,luminous-supreme-control_int100query,5,73
56,luminous-supreme-control_int100query,5,75
57,luminous-supreme-control_int100query,5,60
58,luminous-supreme-control_int100query,5,45
59,luminous-supreme-control_int100query,5,73
60,luminous-supreme-control_int100query,5,73
61,luminous-supreme-control_int100query,5,60
62,luminous-supreme-control_int100query,5,73
63,luminous-supreme-control_int100query,5,73
64,luminous-supreme-control_int100query,5,73
65,luminous-supreme-control_int100query,10,73
66,luminous-supreme-control_int100query,10,70
67,luminous-supreme-control_int100query,10,60
68,luminous-supreme-control_int100query,10,60
69,luminous-supreme-control_int100query,10,73
70,luminous-supreme-control_int100query,10,73
71,luminous-supreme-control_int100query,10,73
72,luminous-supreme-control_int100query,10,73
73,luminous-supreme-control_int100query,10,75
74,luminous-supreme-control_int100query,10,45
75,luminous-supreme-control_int100query,10,73
76,luminous-supreme-control_int100query,10,45
77,luminous-supreme-control_int100query,10,75
78,luminous-supreme-control_int100query,10,45
79,luminous-supreme-control_int100query,10,75
80,luminous-supreme-control_int100query,10,73
81,luminous-supreme-control_int100query,10,70
82,luminous-supreme-control_int100query,10,73
83,luminous-supreme-control_int100query,10,60
84,luminous-supreme-control_int100query,10,75
85,luminous-supreme-control_int100query,10,70
86,luminous-supreme-control_int100query,10,75
87,luminous-supreme-control_int100query,10,73
88,luminous-supreme-control_int100query,10,70
89,luminous-supreme-control_int100query,10,75
90,luminous-supreme-control_int100query,10,73
91,luminous-supreme-control_int100query,10,73
92,luminous-supreme-control_int100query,10,75
93,luminous-supreme-control_int100query,10,73
94,luminous-supreme-control_int100query,10,60
95,luminous-supreme-control_int100query,10,70
96,luminous-supreme-control_int100query,10,73
97,luminous-supreme-control_int100query,10,73
98,luminous-supreme-control_int100query,10,70
99,luminous-supreme-control_int100query,10,73
100,luminous-supreme-control_int100query,10,73
101,luminous-supreme-control_int100query,10,75
102,luminous-supreme-control_int100query,10,73
103,luminous-supreme-control_int100query,10,73
104,luminous-supreme-control_int100query,10,70
105,luminous-supreme-control_int100query,10,45
106,luminous-supreme-control_int100query,10,73
107,luminous-supreme-control_int100query,10,73
108,luminous-supreme-control_int100query,10,73
109,luminous-supreme-control_int100query,10,73
110,luminous-supreme-control_int100query,10,73
111,luminous-supreme-control_int100query,10,73
112,luminous-supreme-control_int100query,10,73
113,luminous-supreme-control_int100query,10,75
114,luminous-supreme-control_int100query,10,73
115,luminous-supreme-control_int100query,10,73
116,luminous-supreme-control_int100query,10,73
117,luminous-supreme-control_int100query,10,70
118,luminous-supreme-control_int100query,10,60
119,luminous-supreme-control_int100query,10,75
120,luminous-supreme-control_int100query,10,70
121,luminous-supreme-control_int100query,10,73
122,luminous-supreme-control_int100query,10,75
123,luminous-supreme-control_int100query,10,73
124,luminous-supreme-control_int100query,10,73
125,luminous-supreme-control_int100query,10,73
