idx,condition_dataset_name,condition_query_name,condition_cond,parameter_value,gpt-3.5-turbo,gpt-4,luminous-supreme-control_int100query
0,cc,alien,annealing,0.0,2.657857576698153,2.657857576698153,2.657857576698153
1,cc,alien,annealing,0.1,2.657857576698153,2.657857576698153,2.657857576698153
2,cc,alien,annealing,0.2,2.657857576698153,2.657857576698153,2.2778322770120676
3,cc,alien,annealing,0.3,2.657857576698153,2.657857576698153,1.9727221860548756
4,cc,alien,annealing,0.4,2.545955524819549,2.657857576698153,2.060539739695815
5,cc,alien,annealing,0.5,2.259554207770463,2.657857576698153,1.693230964695906
6,cc,alien,annealing,0.6,1.6336652919687484,2.657857576698153,1.5280712127626146
7,cc,alien,annealing,0.7,1.2232420361914234,2.657857576698153,1.4593333244979179
8,cc,alien,annealing,0.8,0.6405817117433732,2.657857576698153,1.3793172576058417
9,cc,alien,annealing,0.9,0.4157777651101888,2.657857576698153,1.2439788719006486
10,cc,alien,annealing,1.0,0.04279231554911567,2.657857576698153,1.1891708485403953
11,cc,alien,annealing,1.1,0.4044306735831613,2.545955524819549,1.1965585000269596
12,cc,alien,annealing,1.2,0.7057871110238003,2.657857576698153,1.0907961669008464
13,cc,alien,annealing,1.3,0.6415938928793521,2.6018560448499843,0.9633964113884599
14,cc,alien,annealing,1.4,0.6040784728410462,2.4344616645396733,0.8173726040270266
15,cc,alien,annealing,1.5,0.8805151101665833,2.6018560448499843,0.7920616027636407
16,cc,alien,annealing,1.6,1.0291518921741254,2.3788704502535563,0.8541492738941405
17,cc,alien,annealing,1.7,1.041872294665787,2.559818466417979,0.619432125457327
18,cc,alien,annealing,1.8,1.1030886587919269,2.073258925344158,0.48921193745557945
19,cc,alien,annealing,1.9,1.0488069492451295,2.1082580350363767,0.38337525932886596
20,cc,alien,annealing,2.0,1.0733847642774257,2.254321726414434,0.38444653296371323
21,cc,econ,annealing,0.0,3.1822742802956205,3.1822742802956205,1.432845996287134
22,cc,econ,annealing,0.1,3.1822742802956205,3.1822742802956205,1.432845996287134
23,cc,econ,annealing,0.2,3.1822742802956205,3.1822742802956205,3.1822742802956205
24,cc,econ,annealing,0.3,3.1822742802956205,3.0143301363342987,3.1822742802956205
25,cc,econ,annealing,0.4,3.1262727484474513,3.1822742802956205,2.1425535244154785
26,cc,econ,annealing,0.5,2.8946225108170505,2.6710596583595025,1.824296445665332
27,cc,econ,annealing,0.6,2.792889804154269,2.575888979645791,1.6108279412316449
28,cc,econ,annealing,0.7,2.695849209358383,2.4582352832021575,1.7596821239211422
29,cc,econ,annealing,0.8,2.166437599371737,2.4244683394570483,1.6360544967640147
30,cc,econ,annealing,0.9,2.024636962172412,2.288629965395813,1.6849153192385231
31,cc,econ,annealing,1.0,1.9257940947268566,2.196339500155587,1.3713291278452064
32,cc,econ,annealing,1.1,1.3720712922064362,2.2139710668113746,1.4117188256141964
33,cc,econ,annealing,1.2,1.0126011735544522,2.060547324982073,1.356096663625948
34,cc,econ,annealing,1.3,0.980663600058485,1.7547460271787065,1.100323335730173
35,cc,econ,annealing,1.4,0.7936872115140639,1.9869414500779263,1.2048617317605115
36,cc,econ,annealing,1.5,0.8504362766588693,1.5679326833530907,1.1703688893664306
37,cc,econ,annealing,1.6,0.2694335451867742,1.5887908463426785,1.3365107285197952
38,cc,econ,annealing,1.7,0.49224340635352837,1.8160958953885011,0.8956275422011366
39,cc,econ,annealing,1.8,0.18125335580075452,1.5628234623229005,0.9251047600391167
40,cc,econ,annealing,1.9,0.24635442577913613,1.637807240233773,1.0160752791017384
41,cc,econ,annealing,2.0,0.16523505233207025,1.5400478643738773,0.8391931529227761
42,cc,sex,annealing,0.0,3.376598817013691,3.376598817013691,2.9369289442549054
43,cc,sex,annealing,0.1,3.376598817013691,3.376598817013691,2.8458865959362534
44,cc,sex,annealing,0.2,3.3205972851655217,3.320597285165522,2.4280895504544353
45,cc,sex,annealing,0.3,3.0426661127456893,3.2227612292892442,2.4226296482643437
