idx,condition_dataset_name,condition_query_name,condition_cond,parameter_value,gpt-3.5-turbo,gpt-4,luminous-supreme-control_int100query
0,cc,alien,annealing,0.0,1.1298647743649484,2.5649492841694417,3.0757749019094267
1,cc,alien,annealing,0.1,1.1298647743649484,2.5649492841694417,3.0757749019094267
2,cc,alien,annealing,0.2,1.1298647743649484,2.5649492841694417,2.844167797943182
3,cc,alien,annealing,0.3,1.1298647743649484,2.5649492841694417,2.871651891667468
4,cc,alien,annealing,0.4,1.2673678052634598,2.5649492841694417,3.0164760647220556
5,cc,alien,annealing,0.5,1.540667101784271,2.5649492841694417,3.9099748159146515
6,cc,alien,annealing,0.6,3.76867572337819,2.5649492841694417,4.644836676513827
7,cc,alien,annealing,0.7,4.545441038618882,2.5649492841694417,5.58475867328112
8,cc,alien,annealing,0.8,5.3373425453849,2.5649492841694417,5.978738905544907
9,cc,alien,annealing,0.9,6.029650017141171,2.5649492841694417,6.754096667740598
10,cc,alien,annealing,1.0,7.914807541453501,2.5649492841694417,7.900520589941611
11,cc,alien,annealing,1.1,9.564559298056254,2.8622652596333134,6.239592611687832
12,cc,alien,annealing,1.2,9.592222458163032,2.5649492841694417,6.564391083418526
13,cc,alien,annealing,1.3,9.653130635655776,2.713556765992511,6.841401872056514
14,cc,alien,annealing,1.4,10.68154747210411,2.971474791934464,9.945278170868882
15,cc,alien,annealing,1.5,9.349017186462142,2.713556765992511,10.959674370093662
16,cc,alien,annealing,1.6,11.07115975924799,2.890546609817914,5.8412319271512585
17,cc,alien,annealing,1.7,11.775870561815548,2.4771266862440666,9.508783186513584
18,cc,alien,annealing,1.8,11.753291541977966,3.18538520425834,6.969605838683437
19,cc,alien,annealing,1.9,11.60342380155912,3.2820443723438126,10.171502260188102
20,cc,alien,annealing,2.0,11.444364211697106,2.9833365561941614,8.681479293614798
21,cc,econ,annealing,0.0,1.6894805377255888,1.6894805377255888,11.759323239544539
22,cc,econ,annealing,0.1,1.6894805377255888,1.6894805377255888,11.759323239544539
23,cc,econ,annealing,0.2,1.6894805377255888,1.6894805377255888,2.5649492654789214
24,cc,econ,annealing,0.3,1.6894805377255888,1.5565551428744002,2.5649492654789214
25,cc,econ,annealing,0.4,1.6513966003616496,1.6894805377255888,6.869526531547139
26,cc,econ,annealing,0.5,1.488007474857811,1.3253192134138336,6.636407055753655
27,cc,econ,annealing,0.6,1.4084841789983331,1.2725069754425105,5.35648858392646
28,cc,econ,annealing,0.7,1.944366050007142,1.2110746632449478,3.4501118485913613
29,cc,econ,annealing,0.8,1.8785851891311822,1.195917528634996,3.6326478070508257
30,cc,econ,annealing,0.9,1.5778658490379525,1.1192506887081397,3.56834238587491
31,cc,econ,annealing,1.0,2.516937769168388,1.2862554670446933,4.581771136479361
32,cc,econ,annealing,1.1,3.2693612261070886,1.1073404926558479,2.666782733120511
33,cc,econ,annealing,1.2,3.027442132027149,1.2562428203142653,4.334179076450903
34,cc,econ,annealing,1.3,2.4421246073834695,1.5635340071710087,4.00639084437841
35,cc,econ,annealing,1.4,4.4997047890668185,1.3870422488306944,6.416736523837943
36,cc,econ,annealing,1.5,4.906857671453501,1.663717036263488,4.221878069914994
37,cc,econ,annealing,1.6,6.3983479167816135,1.1576295010045419,3.7359723948195236
38,cc,econ,annealing,1.7,3.8635789586430596,1.547198453343816,5.793014918038223
39,cc,econ,annealing,1.8,4.79275857500201,1.8403887640745824,3.7794187225611227
40,cc,econ,annealing,1.9,5.6221396383176305,2.0665004593493594,4.762142655462758
41,cc,econ,annealing,2.0,6.2405786819705575,1.8107974995351515,4.937101303631195
42,cc,sex,annealing,0.0,2.228477028684937,3.4812399822059708,5.828117126418967
43,cc,sex,annealing,0.1,2.228477028684937,3.4812399822059708,5.338073263112637
44,cc,sex,annealing,0.2,2.3804492328365203,3.620684556822345,6.349218728322059
45,cc,sex,annealing,0.3,3.5668071909208687,3.7182946074106087,7.736209477559539
46,cc,sex,annealing,0.4,4.6571637717860845,5.906260009320247,7.345295984993397
47,cc,sex,annealing,0.5,6.168668207294332,5.884065174675953,11.244706048657854
48,cc,sex,annealing,0.6,6.721382599627273,5.4802682040916855,10.100503357290227
49,cc,sex,annealing,0.7,7.927174875813551,6.59524331149715,9.020329023928243
50,cc,sex,annealing,0.8,8.8736550911081,5.568269307877938,9.332419696071664
51,cc,sex,annealing,0.9,9.988238565547945,8.470367629770282,10.981697237838906
52,cc,sex,annealing,1.0,9.525441916684581,7.254346814114051,11.242625635946604
53,cc,sex,annealing,1.1,10.469172954874614,9.029846534459924,10.990874072472405
54,cc,sex,annealing,1.2,9.773017316575745,8.323622609069853,13.195632600256367
55,cc,sex,annealing,1.3,11.2416064491519,7.58796295445646,10.941150036187038
56,cc,sex,annealing,1.4,9.369605731923702,7.879582278245608,11.186499459782388
57,cc,sex,annealing,1.5,10.041833300344107,8.576243148573097,10.410844970801662
58,cc,sex,annealing,1.6,11.359251778964472,8.745803956350162,10.615887878445402
59,cc,sex,annealing,1.7,10.754208271543447,8.653054683423187,13.4911577664558
60,cc,sex,annealing,1.8,12.350159389441957,10.67980648631759,9.744704765203824
