idx,condition_dataset_name,condition_query_name,condition_temp,condition_topp,parameter_value
0,cc,econ,0.0,0.01,3.1822742802956205
1,cc,econ,0.0,0.1,3.1822742802956205
2,cc,econ,0.0,0.2,3.1822742802956205
3,cc,econ,0.0,0.3,3.1822742802956205
4,cc,econ,0.0,0.4,3.1822742802956205
5,cc,econ,0.0,0.5,3.1822742802956205
6,cc,econ,0.0,0.6,3.1822742802956205
7,cc,econ,0.0,0.7,3.1822742802956205
8,cc,econ,0.0,0.8,3.1822742802956205
9,cc,econ,0.0,0.8,3.1822742802956205
10,cc,econ,0.0,1.0,3.1822742802956205
11,cc,econ,0.1,0.01,3.1822742802956205
12,cc,econ,0.1,0.1,3.1822742802956205
13,cc,econ,0.1,0.2,3.1822742802956205
14,cc,econ,0.1,0.3,3.1822742802956205
15,cc,econ,0.1,0.4,3.1822742802956205
16,cc,econ,0.1,0.5,3.1822742802956205
17,cc,econ,0.1,0.6,3.1822742802956205
18,cc,econ,0.1,0.7,3.1822742802956205
19,cc,econ,0.1,0.8,3.1822742802956205
20,cc,econ,0.1,0.8,3.1822742802956205
21,cc,econ,0.1,1.0,3.1822742802956205
22,cc,econ,0.2,0.01,3.1822742802956205
23,cc,econ,0.2,0.1,3.1822742802956205
24,cc,econ,0.2,0.2,3.1822742802956205
25,cc,econ,0.2,0.3,3.1822742802956205
26,cc,econ,0.2,0.4,3.1822742802956205
27,cc,econ,0.2,0.5,3.1822742802956205
28,cc,econ,0.2,0.6,3.1822742802956205
29,cc,econ,0.2,0.7,3.1822742802956205
30,cc,econ,0.2,0.8,3.1822742802956205
31,cc,econ,0.2,0.8,3.1822742802956205
32,cc,econ,0.2,1.0,3.1822742802956205
33,cc,econ,0.3,0.01,3.1822742802956205
34,cc,econ,0.3,0.1,3.1822742802956205
35,cc,econ,0.3,0.2,3.1822742802956205
36,cc,econ,0.3,0.3,3.1822742802956205
37,cc,econ,0.3,0.4,3.1822742802956205
38,cc,econ,0.3,0.5,3.1822742802956205
39,cc,econ,0.3,0.6,3.1822742802956205
40,cc,econ,0.3,0.7,3.1822742802956205
41,cc,econ,0.3,0.8,3.1822742802956205
42,cc,econ,0.3,0.8,3.1822742802956205
43,cc,econ,0.3,1.0,3.1262727484474513
44,cc,econ,0.4,0.01,3.1822742802956205
45,cc,econ,0.4,0.1,3.1822742802956205
