idx,condition_dataset_name,condition_query_name,condition_temp,condition_topp,parameter_value
0,cc,econ,0.0,0.01,0.016146230007616155
1,cc,econ,0.0,0.1,0.016146230007616155
2,cc,econ,0.0,0.2,0.016146230007616155
3,cc,econ,0.0,0.3,0.016146230007616155
4,cc,econ,0.0,0.4,0.016146230007616155
5,cc,econ,0.0,0.5,0.016146230007616155
6,cc,econ,0.0,0.6,0.016146230007616155
7,cc,econ,0.0,0.7,0.016146230007616155
8,cc,econ,0.0,0.8,0.016146230007616155
9,cc,econ,0.0,0.8,0.016146230007616155
10,cc,econ,0.0,1.0,0.016146230007616155
11,cc,econ,0.1,0.01,0.016146230007616155
12,cc,econ,0.1,0.1,0.016146230007616155
13,cc,econ,0.1,0.2,0.016146230007616155
14,cc,econ,0.1,0.3,0.016146230007616155
15,cc,econ,0.1,0.4,0.016146230007616155
16,cc,econ,0.1,0.5,0.016146230007616155
17,cc,econ,0.1,0.6,0.016146230007616155
18,cc,econ,0.1,0.7,0.016146230007616155
19,cc,econ,0.1,0.8,0.016146230007616155
20,cc,econ,0.1,0.8,0.016146230007616155
21,cc,econ,0.1,1.0,0.016146230007616155
22,cc,econ,0.2,0.01,0.016146230007616155
23,cc,econ,0.2,0.1,0.016146230007616155
24,cc,econ,0.2,0.2,0.016146230007616155
25,cc,econ,0.2,0.3,0.016146230007616155
26,cc,econ,0.2,0.4,0.016146230007616155
27,cc,econ,0.2,0.5,0.016146230007616155
28,cc,econ,0.2,0.6,0.016146230007616155
29,cc,econ,0.2,0.7,0.016146230007616155
30,cc,econ,0.2,0.8,0.016146230007616155
31,cc,econ,0.2,0.8,0.016146230007616155
32,cc,econ,0.2,1.0,0.016146230007616155
33,cc,econ,0.3,0.01,0.016146230007616155
34,cc,econ,0.3,0.1,0.016146230007616155
35,cc,econ,0.3,0.2,0.016146230007616155
36,cc,econ,0.3,0.3,0.016146230007616155
37,cc,econ,0.3,0.4,0.016146230007616155
38,cc,econ,0.3,0.5,0.016146230007616155
39,cc,econ,0.3,0.6,0.016146230007616155
40,cc,econ,0.3,0.7,0.016146230007616155
41,cc,econ,0.3,0.8,0.016146230007616155
42,cc,econ,0.3,0.8,0.016146230007616155
43,cc,econ,0.3,1.0,0.015948210205635957
44,cc,econ,0.4,0.01,0.016146230007616155
45,cc,econ,0.4,0.1,0.016146230007616155
46,cc,econ,0.4,0.2,0.016146230007616155
47,cc,econ,0.4,0.3,0.016146230007616155
48,cc,econ,0.4,0.4,0.016146230007616155
49,cc,econ,0.4,0.5,0.016146230007616155
50,cc,econ,0.4,0.6,0.016146230007616155
51,cc,econ,0.4,0.7,0.015948210205635957
52,cc,econ,0.4,0.8,0.01575019040365576
53,cc,econ,0.4,0.8,0.01575019040365576
54,cc,econ,0.4,1.0,0.01575019040365576
55,cc,econ,0.5,0.01,0.016146230007616155
56,cc,econ,0.5,0.1,0.016146230007616155
57,cc,econ,0.5,0.2,0.016146230007616155
58,cc,econ,0.5,0.3,0.016146230007616155
59,cc,econ,0.5,0.4,0.016146230007616155
60,cc,econ,0.5,0.5,0.016146230007616155
61,cc,econ,0.5,0.6,0.015948210205635957
62,cc,econ,0.5,0.7,0.016146230007616155
63,cc,econ,0.5,0.8,0.015354150799695362
64,cc,econ,0.5,0.8,0.015354150799695362
65,cc,econ,0.5,1.0,0.01555217060167556
66,cc,econ,0.6,0.01,0.016146230007616155
67,cc,econ,0.6,0.1,0.016146230007616155
68,cc,econ,0.6,0.2,0.016146230007616155
69,cc,econ,0.6,0.3,0.016146230007616155
70,cc,econ,0.6,0.4,0.016146230007616155
71,cc,econ,0.6,0.5,0.016146230007616155
72,cc,econ,0.6,0.6,0.016146230007616155
73,cc,econ,0.6,0.7,0.015552170601675559
74,cc,econ,0.6,0.8,0.01456207159177457
75,cc,econ,0.6,0.8,0.01456207159177457
76,cc,econ,0.6,1.0,0.013769992383853775
77,cc,econ,0.7,0.01,0.016146230007616155
78,cc,econ,0.7,0.1,0.016146230007616155
79,cc,econ,0.7,0.2,0.016146230007616155
80,cc,econ,0.7,0.3,0.016146230007616155
81,cc,econ,0.7,0.4,0.016146230007616155
82,cc,econ,0.7,0.5,0.016146230007616155
83,cc,econ,0.7,0.6,0.016146230007616155
84,cc,econ,0.7,0.7,0.015948210205635957
85,cc,econ,0.7,0.8,0.013968012185833973
86,cc,econ,0.7,0.8,0.013968012185833973
87,cc,econ,0.7,1.0,0.012627570449352633
88,cc,econ,0.8,0.01,0.016146230007616155
89,cc,econ,0.8,0.1,0.016146230007616155
90,cc,econ,0.8,0.2,0.016146230007616155
91,cc,econ,0.8,0.3,0.016146230007616155
92,cc,econ,0.8,0.4,0.016146230007616155
93,cc,econ,0.8,0.5,0.016146230007616155
94,cc,econ,0.8,0.6,0.015948210205635957
95,cc,econ,0.8,0.7,0.014958111195734964
96,cc,econ,0.8,0.8,0.012261995430312266
97,cc,econ,0.8,0.8,0.012261995430312266
98,cc,econ,0.8,1.0,0.011987814166031993
99,cc,econ,0.8,0.01,0.016146230007616155
100,cc,econ,0.8,0.1,0.016146230007616155
101,cc,econ,0.8,0.2,0.016146230007616155
102,cc,econ,0.8,0.3,0.016146230007616155
103,cc,econ,0.8,0.4,0.016146230007616155
104,cc,econ,0.8,0.5,0.016146230007616155
105,cc,econ,0.8,0.6,0.015948210205635957
106,cc,econ,0.8,0.7,0.014958111195734964
107,cc,econ,0.8,0.8,0.012261995430312266
108,cc,econ,0.8,0.8,0.012261995430312266
109,cc,econ,0.8,1.0,0.011987814166031993
110,cc,econ,1.0,0.01,0.016146230007616155
111,cc,econ,1.0,0.1,0.016146230007616155
112,cc,econ,1.0,0.2,0.016146230007616155
113,cc,econ,1.0,0.3,0.016146230007616155
114,cc,econ,1.0,0.4,0.016146230007616155
115,cc,econ,1.0,0.5,0.016146230007616155
116,cc,econ,1.0,0.6,0.015948210205635957
117,cc,econ,1.0,0.7,0.013617669459253624
118,cc,econ,1.0,0.8,0.012261995430312266
119,cc,econ,1.0,0.8,0.012261995430312266
120,cc,econ,1.0,1.0,0.009322162985529327
121,cc,econ,1.1,0.01,0.016146230007616155
122,cc,econ,1.1,0.1,0.016146230007616155
123,cc,econ,1.1,0.2,0.016146230007616155
124,cc,econ,1.1,0.3,0.016146230007616155
