Duration (in seconds),RecordedDate,Prolific ID,Investment_Chain,Sex_Chain,Alien_Chain,Sex_CCG,Alien_CCG,Investment_CCG,Sex_CCP,Alien_CCP,Investment_CCP,Investment_ControlP,Alien_ControlP,Sex_ControlP,Alien_ControlG,Sex_ControlG,Investment_ControlG,Att_Check_18,Gender,Age,Backgroupn
137,1/29/2023 4:00:41,6092611e8ef1df4830d04f74,,,,61,31,40,,,,,,,,,,23,2,26,3
171,1/29/2023 4:00:54,5edde3aa1f4a23b19cf4d3b0,,,,,,,,,,,,,99,81,76,23,2,32,3
145,1/29/2023 4:01:05,57cc48444a458600014be721,,,,,,,,,,31,13,50,,,,23,2,41,3
123,1/29/2023 4:02:48,5e14ef83c12a36b08f3a1162,,,,,,,,,,37,60,43,,,,23,2,24,3
157,1/29/2023 4:03:25,60170c926648b891f9e5742f,,,,,,,,,,,,,100,50,75,23,2,43,3
126,1/29/2023 4:45:34,5e01e04619232dd8e9592c2b,,,,100,100,100,,,,,,,,,,23,2,54,3
127,1/29/2023 4:45:36,5d2b1b658f2389001545018f,100,100,100,,,,,,,,,,,,,23,2,41,"1,2"
200,1/29/2023 4:47:27,5ff201c55ce3ae1a22fcf4d5,,,,,,,20,40,68,,,,,,,23,2,30,3
276,1/29/2023 5:32:58,5fd2948a06a84e053fe86415,80,71,50,,,,,,,,,,,,,23,1,19,3
165,1/29/2023 5:34:37,5cb308825ee1730001ae65aa,,,,,,,60,50,60,,,,,,,23,2,36,3
138,1/29/2023 5:35:34,5cb20f2d7c917b00172dfef5,,,,,,,,,,56,56,56,,,,23,1,46,3
146,1/29/2023 5:35:46,5731d31a5b8b0600097cc166,,,,,,,,,,,,,0,80,70,23,1,33,"1,2"
234,1/29/2023 5:37:25,60fd3aa1ee03e6095918afd4,,,,100,100,100,,,,,,,,,,23,2,21,3
67,1/29/2023 7:39:15,5ee8f53008d60f24278b816e,100,100,100,,,,,,,,,,,,,23,2,24,3
131,1/29/2023 7:40:21,59d4fac0d1ab390001da2e46,,,,,,,,,,76,100,71,,,,23,2,35,2
189,1/29/2023 7:41:02,62b2ced20cf38404284f7038,,,,91,93,92,,,,,,,,,,23,2,51,3
160,1/29/2023 7:41:40,5dcc108c6eab9a8ab9e4f24b,,,,,,,48,84,36,,,,,,,23,2,21,3
310,1/29/2023 7:43:00,5c38c1e9bc6444000133ec15,,,,,,,,,,100,100,100,,,,23,2,30,3
120,1/29/2023 10:16:39,5985f6bdeef500000111db98,,,,,,,,,,,,,0,20,56,23,2,40,3
118,1/29/2023 10:17:38,5fb29577ca2ab98b170f5299,,,,,,,14,3,73,,,,,,,35,1,34,3
96,1/29/2023 10:18:07,5f0477b44a7abf086ad33018,,,,60,30,80,,,,,,,,,,23,1,23,3
143,1/29/2023 10:18:26,60dc2b519c5a4528f5801595,,,,,,,,,,66,49,62,,,,23,2,44,3
174,1/29/2023 10:18:27,604a58fc3a2b7de19e8c5104,,,,,,,71,79,71,,,,,,,9,2,20,3
84,1/29/2023 10:18:53,616ff783eec01f7069a92afb,27,51,51,,,,,,,,,,,,,83,2,33,3
82,1/29/2023 10:18:58,557481b5fdf99b1db34e6fd3,,,,,,,,,,,,,27,73,90,23,2,62,3
98,1/29/2023 10:19:31,5c38aea64353c20001241622,,,,,,,66,52,41,,,,,,,22,2,26,3
153,1/29/2023 10:19:54,5ba23e4140fe1a0001ebc61a,,,,,,,,,,,,,45,72,40,39,2,42,1
140,1/29/2023 10:20:23,5cd2f861ad27b40016acd64e,,,,77,51,73,,,,,,,,,,23,2,27,3
92,1/29/2023 10:20:31,5f7c7530b5861b0913688a6c,,,,,,,,,,,,,61,54,83,50,2,40,1
147,1/29/2023 10:20:42,600abd9534acba01dec91fab,,,,,,,,,,60,20,20,,,,23,2,29,3
164,1/29/2023 10:20:55,5f359513105505187b34e85c,73,66,43,,,,,,,,,,,,,23,2,22,3
181,1/29/2023 10:21:07,62b445062f732535911f91b7,,,,,,,,,,75,60,90,,,,23,1,27,3
142,1/29/2023 10:21:47,5faed3b0bc045b08acb353e0,,,,100,100,100,,,,,,,,,,23,3,25,2
218,1/29/2023 10:22:10,610fadff9a1e246857bfecde,,,,,,,33,50,57,,,,,,,31,1,43,3
101,1/29/2023 10:22:28,5da767d89d0c290014c9851a,,,,,,,,,,60,35,23,,,,23,1,20,3
162,1/29/2023 10:22:41,5c66a55318f539000128d80a,82,69,51,,,,,,,,,,,,,23,2,28,1
163,1/29/2023 10:23:04,5f6508d0c3359c06476f9c2a,,,,,,,80,75,30,,,,,,,23,2,35,3
241,1/29/2023 10:24:13,5f9ef609d0edb74d9aa4d2e1,70,57,39,,,,,,,,,,,,,23,1,54,3
74,1/29/2023 10:24:18,63829fe90ec4f5d828d0497f,73,75,94,,,,,,,,,,,,,23,1,18,3
193,1/29/2023 10:24:18,5c6a83d849b7f000014ff5e5,,,,50,50,50,,,,,,,,,,23,2,34,3
377,1/29/2023 10:24:28,59874280c0334000018fe0c8,,,,,,,,,,,,,35,91,16,23,2,30,2
258,1/29/2023 10:24:47,622b9908a530683a9c67740b,,,,,,,,,,,,,100,100,100,23,1,57,3
207,1/29/2023 10:24:51,5ed7ca3a57af4a0aeb61d9cb,,,,,,,36,71,69,,,,,,,23,2,18,3
131,1/29/2023 10:25:07,5d6a3ac866c3d3001513754f,,,,40,60,60,,,,,,,,,,23,2,48,3
117,1/29/2023 10:25:35,56e68157f6ed90000ba5855c,,,,,,,,,,2,50,6,,,,23,2,34,3
66,1/29/2023 10:25:47,56c9cdc010a82f000dffd868,,,,,,,,,,87,72,40,,,,9,1,32,3
203,1/29/2023 10:26:01,5de701b898e795693845abc0,,,,,,,,,,,,,0,50,70,23,2,48,3
139,1/29/2023 10:26:20,60d616ee823e6868f72b157e,,,,68,28,73,,,,,,,,,,23,3,30,3
102,1/29/2023 10:26:23,606192adc1fba49d7198df8f,,,,,,,,,,,,,0,14,100,23,2,24,1
348,1/29/2023 10:26:24,59bda4313c45a10001ccca80,80,80,50,,,,,,,,,,,,,20,1,76,1
110,1/29/2023 10:26:26,5ee928ad79df37188757fb28,,,,,,,,,,,,,0,66,80,23,1,35,2
140,1/29/2023 10:26:27,5bb4c7856bcc8100012726f2,0,89,71,,,,,,,,,,,,,0,1,52,3
172,1/29/2023 10:26:35,5e3dff6b8714b707b9a258b0,,,,,,,86,100,90,,,,,,,20,1,38,"1,2"
97,1/29/2023 10:26:49,5d92791d8eaeee0765fa38e0,,,,99,71,62,,,,,,,,,,68,2,43,3
62,1/29/2023 10:26:58,5e289b4c3265b00615e8d14a,,,,,,,,,,,,,61,62,66,67,2,28,1
105,1/29/2023 10:27:06,6020ef7512586873ed94fb0d,,,,,,,,,,42,50,60,,,,41,2,28,3
76,1/29/2023 10:27:15,5c8bdc00302d6c0016a70680,,,,,,,,,,,,,20,70,40,82,2,24,3
218,1/29/2023 10:27:28,634d738128d6bd62fefa7eb5,,,,82,78,56,,,,,,,,,,23,2,23,1
253,1/29/2023 10:27:45,605e5fc57ba58c968de8d8ee,,,,,,,,,,30,50,0,,,,23,1,47,3
271,1/29/2023 10:27:55,57cd7f84648ff400016666f4,95,90,82,,,,,,,,,,,,,23,2,60,"1,2"
176,1/29/2023 10:27:56,5bb3b490763e440001853e4f,81,81,39,,,,,,,,,,,,,23,2,30,3
232,1/29/2023 10:28:12,5ae9cde00335e200019e9eed,,,,,,,17,9,63,,,,,,,23,2,26,3
75,1/29/2023 10:28:21,5e1ae38b2d11243260af4066,,,,,,,,,,,,,75,75,75,23,1,26,3
140,1/29/2023 10:28:23,6311248b98ad0b63d25608fc,,,,70,50,11,,,,,,,,,,23,1,46,3
159,1/29/2023 10:28:28,5ead55f5edd13c3d8e59b65d,60,65,80,,,,,,,,,,,,,23,1,18,2
93,1/29/2023 10:28:46,5f5634241dd5b50165a94243,,,,,,,50,50,50,,,,,,,23,2,24,1
90,1/29/2023 10:29:02,6317466e77a46dec7e2909b4,,,,,,,77,66,73,,,,,,,23,1,22,3
455,1/29/2023 10:29:18,63c158874ba0c7d3568701d4,,,,,,,55,50,60,,,,,,,23,1,25,3
146,1/29/2023 10:29:44,59a52c18514a2200017e6b2e,,,,,,,,,,72,73,63,,,,23,1,48,1
124,1/29/2023 10:29:47,5ebc1b7eee44e501328a5dee,,,,89,50,47,,,,,,,,,,23,2,45,2
328,1/29/2023 10:29:57,5a238241a7788f000144aca2,,,,,,,95,95,95,,,,,,,23,1,35,1
178,1/29/2023 10:29:59,5e328fc0a7365325cc819dae,,,,100,68,39,,,,,,,,,,22,2,29,3
180,1/29/2023 10:29:59,5c55fcea58076d000100bf78,90,87,70,,,,,,,,,,,,,23,2,40,3
181,1/29/2023 10:30:03,6144d8d264b28a29e10ad3de,,,,78,60,70,,,,,,,,,,23,3,20,3
118,1/29/2023 10:30:06,5c4b2a7dcee399000113cd85,,,,,,,,,,,,,50,80,70,23,2,39,3
246,1/29/2023 10:30:17,604822031f4666160f00b04a,,,,,,,50,50,50,,,,,,,23,2,69,3
121,1/29/2023 10:30:19,5dc2d404e0089e1f416238db,,,,,,,,,,72,70,20,,,,23,2,27,3
593,1/29/2023 10:30:28,5de585e4040f535067ca331e,,,,,,,9,70,71,,,,,,,23,2,30,3
140,1/29/2023 10:30:28,5de8b647e130948326a298d7,,,,,,,90,90,90,,,,,,,23,2,26,3
166,1/29/2023 10:30:37,5c0d1a4b12627e0001d25423,55,70,40,,,,,,,,,,,,,30,1,44,1
85,1/29/2023 10:30:39,5f58ca2cc4e37f05525ef997,,,,44,63,68,,,,,,,,,,23,1,52,3
260,1/29/2023 10:30:41,62c7e39cd0cde8d44dda5eb5,,,,,,,,,,,,,86,8,85,23,1,64,1
230,1/29/2023 10:30:41,59607d6c2fa2630001d87d75,,,,80,50,70,,,,,,,,,,23,2,32,2
97,1/29/2023 10:30:46,62850a9d45988f3a749581e0,,,,,,,,,,,,,57,50,75,23,1,28,3
144,1/29/2023 10:30:49,62ebdf145cae8113bb5b1140,,,,,,,,,,,,,80,80,80,23,1,32,3
370,1/29/2023 10:30:50,5dd7052c7fb58b000eb7c09f,,,,,,,,,,88,44,9,,,,23,1,57,3
109,1/29/2023 10:30:51,6147b429dd8d4fe6108c1aaf,,,,,,,,,,,,,49,30,24,24,2,42,3
281,1/29/2023 10:30:59,6083e645cdb9ee8aa864943a,86,74,70,,,,,,,,,,,,,15,1,32,3
63,1/29/2023 10:31:00,5977986837d15f00016f1d08,,,,61,70,50,,,,,,,,,,20,2,47,3
94,1/29/2023 10:31:07,60ecac6455f17d8d14077e43,,,,,,,,,,60,64,39,,,,23,2,21,3
146,1/29/2023 10:31:11,6021bcb0f5e3eb2374415f94,,,,,,,29,36,33,,,,,,,35,2,27,3
162,1/29/2023 10:31:13,5c48b35ca775fb00011f2314,,,,,,,,,,70,0,80,,,,23,1,50,3
153,1/29/2023 10:31:13,62fb7bafbcee41ad4c0b075f,,,,,,,,,,100,100,100,,,,23,1,30,3
114,1/29/2023 10:31:22,59d3e6c5cafa460001f84103,,,,,,,66,60,77,,,,,,,55,1,53,3
303,1/29/2023 10:31:32,5bad2d8350791d000114442b,61,72,61,,,,,,,,,,,,,23,2,37,3
87,1/29/2023 10:31:33,5ef0e873ba594769fa910258,,,,,,,,,,82,82,63,,,,64,2,39,1
174,1/29/2023 10:31:35,62aa27f74a2c61ce6eee720e,67,71,66,,,,,,,,,,,,,23,2,32,3
171,1/29/2023 10:31:36,5ce1d3785670c600013310d9,82,31,80,,,,,,,,,,,,,87,1,44,3
186,1/29/2023 10:31:42,614cdc4094b3c4dc13112fab,,,,62,32,72,,,,,,,,,,55,2,29,3
90,1/29/2023 10:31:44,5c62980ca135520001959a9a,,,,41,37,84,,,,,,,,,,80,1,57,3
218,1/29/2023 10:31:47,5eca495b4394820008aea444,,,,,,,61,71,44,,,,,,,23,2,55,3
116,1/29/2023 10:31:53,6347eea0b06b8b7de374e045,70,40,40,,,,,,,,,,,,,23,1,27,3
115,1/29/2023 10:31:59,60c12c909fc5e24951502e8e,,,,,,,,,,,,,0,100,82,23,1,38,3
156,1/29/2023 10:32:04,55b899c5fdf99b7323bc60e0,,,,,,,,,,80,0,8,,,,7,2,33,3
96,1/29/2023 10:32:04,5ef3efcb420ab11a45a0b8a6,,,,90,60,100,,,,,,,,,,23,1,23,3
123,1/29/2023 10:32:16,5f9adea37534492538642466,,,,,,,60,60,60,,,,,,,80,1,44,3
173,1/29/2023 10:33:04,5eabe44a67ba8f1d5f7ef0c0,,,,,,,,,,81,83,30,,,,23,1,59,"1,2"
387,1/29/2023 10:33:34,5c1ca2273728060001b0b056,,,,,,,,,,50,50,50,,,,50,2,32,3
265,1/29/2023 10:33:36,5f95f7f71193824c90e0b5ef,80,75,70,,,,,,,,,,,,,23,2,51,3
322,1/29/2023 10:34:44,60fff225fb2da6129caf029a,,,,,,,,,,,,,19,81,81,8,2,68,1
318,1/29/2023 10:35:46,5da9633472811e0014ed4256,,,,,,,75,88,81,,,,,,,23,1,67,3
485,1/29/2023 10:36:10,62fc2c20d6cf5515c1f52085,20,70,91,,,,,,,,,,,,,10,1,31,1
206,1/29/2023 10:37:08,5e47334ae1275e1f219e11db,,,,,,,,,,,,,50,60,43,10,1,51,1
831,1/29/2023 10:42:43,5c72f9bf8711bf000139c5ee,,,,50,50,50,,,,,,,,,,23,2,56,1
1121,1/29/2023 10:48:33,62c5e6ed41a0b75551a0e4ce,,,,,,,,,,,,,100,55,50,29,1,19,1
157,1/29/2023 11:02:54,63d14e013aef764087712316,81,80,80,,,,,,,,,,,,,23,1,31,3
645,1/29/2023 11:10:59,55cc19c7fe3304000562562c,,,,,,,,,,,,,50,67,66,23,1,43,1
108,1/29/2023 13:27:17,60ed3c98a098e82ed24e1878,,,,83,82,82,,,,,,,,,,79,2,23,3
126,1/29/2023 13:28:06,5ea9423a615c1501abef79bd,62,71,18,,,,,,,,,,,,,26,2,49,1
144,1/29/2023 13:28:19,5e9865351fd0c20522d9d4aa,,,,,,,57,90,100,,,,,,,59,1,24,1
137,1/29/2023 13:28:36,62b06634af5c94008b7c3fe9,,,,,,,,,,40,40,65,,,,23,1,24,1
113,1/29/2023 13:29:36,5a87e47c8fe2dc000106162a,80,85,30,,,,,,,,,,,,,23,2,30,3
189,1/29/2023 13:30:10,5f7af8bd96edc70107b117aa,,,,100,50,50,,,,,,,,,,50,1,25,3
116,1/29/2023 13:30:46,5f3598f48853aa595c6733e2,,,,,,,,,,,,,28,34,55,17,2,53,3
91,1/29/2023 13:31:55,5fe1f5413cc53ccbd401ea18,,,,,,,,,,50,50,50,,,,23,2,22,3
133,1/29/2023 13:32:08,604a7c03985beea925db2d11,,,,,,,100,39,41,,,,,,,88,2,39,"1,2"
183,1/29/2023 13:32:08,5c62a8d12cfc380001226612,,,,,,,,,,100,83,100,,,,20,2,39,3
160,1/29/2023 13:32:30,63d5568c03e8842910a652c7,,,,,,,18,50,60,,,,,,,23,1,39,3
119,1/29/2023 13:32:40,62c5029803a6df1117182ade,,,,58,28,81,,,,,,,,,,70,2,48,3
133,1/29/2023 13:32:52,5e14de687d9adf000b603402,,,,,,,,,,,,,49,53,61,23,2,56,"1,2"
118,1/29/2023 13:33:12,609fd76cab7a23e98c39d1b9,68,64,38,,,,,,,,,,,,,51,1,30,3
175,1/29/2023 13:33:28,6078649b9de64f21e3fee45d,,,,,,,,,,,,,50,62,30,23,2,35,3
152,1/29/2023 13:33:34,6324d041e8feb5e33750291f,,,,,,,,,,65,55,70,,,,23,1,20,3
122,1/29/2023 13:34:03,5b0d39f4641b1200010ef716,80,70,60,,,,,,,,,,,,,23,2,30,3
174,1/29/2023 13:34:19,5ffb6dcf34750a5dacb8dc98,,,,,,,,,,93,68,83,,,,92,1,52,3
171,1/29/2023 13:34:28,5e26247a5e04db8768423aef,,,,90,70,97,,,,,,,,,,23,2,30,3
233,1/29/2023 13:35:02,62a888104439920ee5cba688,,,,,,,83,75,90,,,,,,,38,2,31,3
154,1/29/2023 13:35:32,609ee2f34f9cc11f7674b336,90,80,80,,,,,,,,,,,,,100,2,34,3
208,1/29/2023 13:35:45,5976052c435a750001158dac,,,,,,,62,41,57,,,,,,,14,2,43,3
157,1/29/2023 13:36:11,63bd9367a2b5cb5ed0957afb,,,,,,,,,,74,100,0,,,,23,1,21,3
88,1/29/2023 13:36:35,5fb29577ca2ab98b170f5299,,,,8,12,4,,,,,,,,,,7,1,34,3
155,1/29/2023 13:36:40,5efad067339562914d784503,,,,,,,,,,,,,71,83,80,23,2,47,3
117,1/29/2023 13:36:46,594f88e927f8fb000162086d,,,,86,50,20,,,,,,,,,,50,2,26,3
136,1/29/2023 13:37:21,633091cd149ce9bb26d35a35,29,62,39,,,,,,,,,,,,,23,1,68,3
102,1/29/2023 13:37:24,5ee24c57c21e4b3191f6f36c,,,,,,,,,,100,100,100,,,,23,2,40,3
357,1/29/2023 13:37:42,60f595df1cca2349f42abd2a,,,,40,50,60,,,,,,,,,,23,2,31,"1,2"
74,1/29/2023 13:37:44,601035bc24cb8f2c108b3e48,,,,,,,50,50,50,,,,,,,25,2,34,3
403,1/29/2023 13:38:01,5bbb99166322c500015a4b51,,,,,,,,,,,,,100,100,100,100,2,36,3
176,1/29/2023 13:38:02,5ff47c8b173bfb6779d53168,,,,,,,,,,,,,62,63,78,23,2,21,1
137,1/29/2023 13:38:11,63bc6a33e39e25d4631c5e91,75,64,52,,,,,,,,,,,,,23,1,29,3
125,1/29/2023 13:38:37,5aa04de4dbdb470001ef1dd5,,,,,,,,,,,,,100,100,100,23,1,55,3
151,1/29/2023 13:38:38,6106de06a5309fd394a1d97f,,,,,,,50,50,50,,,,,,,23,1,30,3
64,1/29/2023 13:38:42,613fa3f65984b16169ccb151,,,,,,,,,,29,17,9,,,,83,1,24,1
100,1/29/2023 13:39:40,61bb376d40db417c1a138a56,,,,,,,,,,,,,50,50,72,0,1,32,"1,2"
174,1/29/2023 13:39:52,63d440cb250f1573c033f4f3,22,71,0,,,,,,,,,,,,,0,1,31,1
110,1/29/2023 13:40:08,5e9b9eaee0e30b0b27983c50,,,,,,,0,10,19,,,,,,,23,2,22,2
222,1/29/2023 13:40:22,606ee51ccc2e5b34ba724120,,,,70,50,86,,,,,,,,,,23,2,23,2
266,1/29/2023 13:40:42,5e8fa4b58028052a7880c8ac,100,90,80,,,,,,,,,,,,,10,1,40,3
240,1/29/2023 13:41:08,5c65bffe5aa5610001dd6338,,,,,,,,,,90,50,95,,,,29,2,31,3
174,1/29/2023 13:41:33,6150d8c4fae17593b8892287,,,,60,70,53,,,,,,,,,,23,1,26,3
254,1/29/2023 13:41:36,57b4e9d152a08d0001d1b9dc,,,,,,,10,2,50,,,,,,,0,2,66,3
204,1/29/2023 13:42:12,63d5030a5e59d30f3e9202b0,,,,,,,,,,70,50,28,,,,23,1,19,3
202,1/29/2023 13:42:14,5a2401db8c1e5c000171414e,,,,,,,,,,,,,50,90,80,23,2,45,3
204,1/29/2023 13:42:30,629f7a9685bc9e5be8bf83e7,50,61,50,,,,,,,,,,,,,23,2,35,3
244,1/29/2023 13:43:20,63d693ae1fe2460f954cc32d,,,,,,,,,,75,0,20,,,,23,1,48,2
319,1/29/2023 13:43:38,60fff225fb2da6129caf029a,,,,50,0,71,,,,,,,,,,0,2,68,1
268,1/29/2023 14:11:14,63d3fa85fbb34f6143c7458a,,,,50,50,50,,,,,,,,,,10,2,38,3
254,1/29/2023 14:12:08,5fc8c1f4c5116c2405111f99,76,71,72,,,,,,,,,,,,,23,2,49,3
189,1/29/2023 14:12:12,634688d1e6bde39515818059,,,,,,,43,34,47,,,,,,,23,1,43,"1,2"
90,1/29/2023 14:12:32,5d4d62a0c7f25f0001c86535,,,,,,,,,,70,70,30,,,,10,2,33,3
251,1/29/2023 14:12:51,59317bb14ecc2d0001e7e159,,,,,,,,,,,,,91,50,81,40,2,50,2
181,1/29/2023 14:13:05,59e611c6d838ae0001850a15,,,,,,,,,,82,65,77,,,,25,2,61,"1,2"
172,1/29/2023 14:13:06,5f429a57a972c449ac21680e,,,,,,,47,29,0,,,,,,,17,1,50,"1,2"
181,1/29/2023 14:14:30,5f3e6a4c5ec7d106ce66d203,,,,15,0,5,,,,,,,,,,23,1,41,3
68,1/29/2023 14:14:42,5fcf580e38a75a2824e4cebd,,,,,,,,,,,,,50,30,38,50,2,27,3
145,1/29/2023 14:14:44,5e23164bff2b7f5cc459fb98,,,,81,19,10,,,,,,,,,,23,1,47,3
99,1/29/2023 14:14:44,5f87293ac383790f14df903c,,,,82,78,71,,,,,,,,,,73,2,23,3
117,1/29/2023 14:14:50,60fdef5095163747e658d60a,,,,,,,70,59,100,,,,,,,9,2,25,3
209,1/29/2023 14:14:56,5d530ac47f7e0b0016ee8cde,50,50,50,,,,,,,,,,,,,23,2,68,3
118,1/29/2023 14:15:19,5c0c3112594d92000167bdcd,71,72,14,,,,,,,,,,,,,23,2,51,3
111,1/29/2023 14:15:41,5e7e6551c7c4b70becc3b666,,,,,,,,,,,,,10,48,62,13,2,53,3
196,1/29/2023 14:15:43,5e591ec38ce75712baac028e,,,,,,,,,,61,30,40,,,,55,1,43,3
202,1/29/2023 14:16:07,5c56eb0e59095a0001bac969,,,,,,,,,,95,31,50,,,,23,2,50,3
238,1/29/2023 14:16:10,5efb2e99f4926b0467487421,,,,,,,,,,,,,60,10,80,23,2,69,3
463,1/29/2023 14:17:08,5cebd7bd92147c0001d1f871,85,89,94,,,,,,,,,,,,,82,2,33,3
190,1/29/2023 14:17:23,5b5b9fdfe36fe200014d239a,,,,100,100,100,,,,,,,,,,100,1,27,3
245,1/29/2023 14:17:29,5d57d96be49322001894d554,,,,,,,87,81,36,,,,,,,23,2,53,3
166,1/29/2023 14:17:32,56e68157f6ed90000ba5855c,,,,52,50,50,,,,,,,,,,23,2,34,3
67,1/29/2023 14:17:47,5f6fb3e1e5d748575a2cff99,,,,,,,50,50,50,,,,,,,50,2,28,3
76,1/29/2023 14:17:48,63d5568c03e8842910a652c7,,,,,,,,,,50,50,50,,,,23,1,39,3
405,1/29/2023 14:17:49,5c7c38999f29bd0001349ca9,,,,,,,,,,,,,59,52,55,23,2,24,2
228,1/29/2023 14:18:11,59e9e46a1c947e00012b2621,,,,,,,2,0,65,,,,,,,19,2,59,3
61,1/29/2023 14:18:12,5e289b4c3265b00615e8d14a,,,,,,,,,,,,,60,62,66,23,2,28,1
194,1/29/2023 14:18:14,5edd44a1f800d10bb83486e1,,,,,,,100,100,100,,,,,,,23,1,28,3
80,1/29/2023 14:18:19,5fb29577ca2ab98b170f5299,,,,,,,,,,,,,5,5,90,19,1,34,3
224,1/29/2023 14:18:20,5f8b3e21f8638825023495db,,,,,,,,,,,,,72,50,75,23,2,39,3
227,1/29/2023 14:18:42,591ddde14f577a0001755f5a,,,,,,,,,,50,50,50,,,,30,2,66,3
141,1/29/2023 14:19:12,5f48b9a1f50c0e36a4c51dff,,,,,,,0,83,100,,,,,,,23,2,51,3
322,1/29/2023 14:19:15,5cae17c21bf0c400011b27d8,81,98,100,,,,,,,,,,,,,8,2,23,1
186,1/29/2023 14:19:34,5ff300745161777d3690e334,67,75,70,,,,,,,,,,,,,23,1,30,3
107,1/29/2023 14:19:36,5f2b1bcbfa2da3513cb07b77,,,,,,,,,,91,70,40,,,,23,2,21,3
79,1/29/2023 14:19:38,5e9b9eaee0e30b0b27983c50,,,,,,,,,,,,,90,100,91,23,2,22,2
152,1/29/2023 14:19:45,5b65628dcb06ee00015f6c9c,,,,69,0,60,,,,,,,,,,23,2,37,3
73,1/29/2023 14:19:46,5aa04de4dbdb470001ef1dd5,100,100,100,,,,,,,,,,,,,23,1,55,3
48,1/29/2023 14:19:49,6078649b9de64f21e3fee45d,,,,,,,,,,,,,50,68,31,23,2,35,3
105,1/29/2023 14:19:52,5f3e6c878e0c6807403c1941,,,,10,10,15,,,,,,,,,,23,1,34,1
288,1/29/2023 14:19:53,639cd66da34530a434be31e5,,,,95,93,94,,,,,,,,,,23,1,54,"1,2"
106,1/29/2023 14:20:13,6324d041e8feb5e33750291f,,,,,,,55,45,70,,,,,,,23,1,20,3
244,1/29/2023 14:20:20,617095ba4da3784c989f1970,,,,84,35,75,,,,,,,,,,32,2,39,3
137,1/29/2023 14:20:27,5f102f0212ea4f000a8ac9da,,,,,,,,,,50,0,20,,,,17,1,53,3
90,1/29/2023 14:20:28,61669408a4cc71a1738cf568,,,,,,,,,,,,,0,0,82,0,1,26,"1,2"
125,1/29/2023 14:20:38,5e96e342070f8a16f7f0ba15,92,88,77,,,,,,,,,,,,,23,2,31,3
201,1/29/2023 14:21:08,63d3f9134dd046702eb282e2,,,,,,,,,,90,95,100,,,,20,1,28,3
361,1/29/2023 14:21:25,5a8d9bd3eea3d300016eb7f9,82,82,65,,,,,,,,,,,,,23,2,42,3
93,1/29/2023 14:21:41,5e1ae38b2d11243260af4066,,,,,,,75,75,75,,,,,,,23,1,26,3
118,1/29/2023 14:21:42,6143217abd754c7495d8d3f7,,,,51,50,61,,,,,,,,,,23,2,26,3
66,1/29/2023 14:21:49,629623440c4ecb63261ec04f,56,52,50,,,,,,,,,,,,,26,1,23,2
106,1/29/2023 14:21:50,5fa18024e8db28293edae14e,,,,,,,,,,61,44,58,,,,23,2,29,2
176,1/29/2023 14:21:50,5cf12ddbf17e370017a278c5,,,,,,,50,50,30,,,,,,,23,2,25,3
170,1/29/2023 14:21:56,63d0094d45f08a4cfcaa568f,,,,,,,,,,30,53,70,,,,88,1,33,3
114,1/29/2023 14:22:03,5e5aa39b15b8d429d07abfd4,71,60,50,,,,,,,,,,,,,50,2,57,3
